GarantyID,NameGaranty,Duration,PriceGaranty,DescriptionGaranty
2001,Manufacturer's special warranty,183,93.17,aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi
2002,Additional reseller's warranty,183,76.92,massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas
2003,Full manufacturer's warranty,93,61.36,nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel
2004,Manufacturer's special warranty,93,74.77,odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices
2005,Full manufacturer's warranty,183,62.65,cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros
2006,Full manufacturer's warranty,93,73.71,aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt
2007,Full manufacturer's warranty,125,93.44,nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna
2008,Full manufacturer's warranty,548,68.04,amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique tortor eu pede
2009,Manufacturer's special warranty,183,95.8,quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea
2010,Standard Manufacturer's,365,70.19,sed sagittis nam congue risus semper porta volutpat quam pede
2011,Standard Manufacturer's,365,69.22,nec sem duis aliquam convallis nunc proin at turpis a
2012,Additional reseller's warranty,183,60.37,faucibus cursus urna ut tellus nulla ut erat id mauris vulputate
2013,Manufacturer's special warranty,365,70.85,at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in
2014,Manufacturer's special warranty,93,71.84,ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis
2015,Standard Manufacturer's,183,70.16,in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus
2016,Manufacturer's special warranty,548,100,et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum
2017,Additional reseller's warranty,125,71.57,odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat
2018,Standard Manufacturer's,125,93.67,quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam
2019,Full manufacturer's warranty,93,90.47,potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis
2020,Additional reseller's warranty,183,87.21,suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam
2021,Additional reseller's warranty,93,68.75,magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien
2022,Standard Manufacturer's,365,67.61,non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus
2023,Manufacturer's special warranty,365,72.44,commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris
2024,Additional reseller's warranty,93,77.91,luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi
2025,Additional reseller's warranty,125,68.59,et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit
2026,Full manufacturer's warranty,548,77.76,aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra
2027,Manufacturer's special warranty,183,93.05,et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris
2028,Additional reseller's warranty,183,94.56,orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit
2029,Standard Manufacturer's,125,65.73,sit amet lobortis sapien sapien non mi integer ac neque
2030,Standard Manufacturer's,548,80.15,mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec
2031,Standard Manufacturer's,93,64.1,orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui
2032,Additional reseller's warranty,93,85.09,tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus
2033,Manufacturer's special warranty,548,77.89,curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor
2034,Additional reseller's warranty,93,80.98,viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna
2035,Additional reseller's warranty,93,81.86,ac nibh fusce lacus purus aliquet at feugiat non pretium
2036,Full manufacturer's warranty,548,95.07,lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum
2037,Full manufacturer's warranty,183,94.87,elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie
2038,Standard Manufacturer's,93,61.36,in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque
2039,Standard Manufacturer's,365,89.67,imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere
2040,Additional reseller's warranty,548,94.87,pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit
2041,Additional reseller's warranty,365,74,morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus
2042,Standard Manufacturer's,93,69.51,quis lectus suspendisse potenti in eleifend quam a odio in hac
2043,Full manufacturer's warranty,93,93.2,nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas
2044,Full manufacturer's warranty,548,74.12,elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum
2045,Standard Manufacturer's,93,76.92,nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium
2046,Manufacturer's special warranty,365,80.05,velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel
2047,Additional reseller's warranty,365,75.85,morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo
2048,Full manufacturer's warranty,548,76.27,duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum
2049,Additional reseller's warranty,93,67.11,cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi
2050,Standard Manufacturer's,365,68.46,consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo
2051,Manufacturer's special warranty,125,84.58,duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id
2052,Full manufacturer's warranty,365,78.07,nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl
2053,Full manufacturer's warranty,365,94.98,rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio
2054,Full manufacturer's warranty,548,69.05,eleifend pede libero quis orci nullam molestie nibh in lectus
2055,Standard Manufacturer's,93,73.56,orci pede venenatis non sodales sed tincidunt eu felis fusce posuere
2056,Manufacturer's special warranty,93,89.59,tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus
2057,Additional reseller's warranty,93,84.46,lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna
2058,Additional reseller's warranty,548,79.64,metus sapien ut nunc vestibulum ante ipsum primis in faucibus
2059,Manufacturer's special warranty,183,88.39,quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut
2060,Manufacturer's special warranty,183,73.69,hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum
2061,Standard Manufacturer's,365,79.29,vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer
2062,Full manufacturer's warranty,548,81.21,eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia
2063,Full manufacturer's warranty,548,62.34,velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros
2064,Full manufacturer's warranty,365,67.46,odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam
2065,Manufacturer's special warranty,183,95.49,integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in
2066,Full manufacturer's warranty,365,65.34,ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia
2067,Standard Manufacturer's,365,94.24,et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc
2068,Manufacturer's special warranty,365,62.91,aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed
2069,Additional reseller's warranty,125,60.56,sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi
2070,Additional reseller's warranty,125,65.43,pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus
2071,Standard Manufacturer's,125,63.8,tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui
2072,Manufacturer's special warranty,93,75.02,quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus
2073,Manufacturer's special warranty,183,93.31,praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis in
2074,Standard Manufacturer's,365,96.4,curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae
2075,Manufacturer's special warranty,93,62.09,nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare
2076,Additional reseller's warranty,365,89.75,congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam
2077,Manufacturer's special warranty,125,73.85,pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing
2078,Manufacturer's special warranty,125,63.48,quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea
2079,Additional reseller's warranty,93,76.38,metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu
2080,Standard Manufacturer's,548,91.81,nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis
2081,Full manufacturer's warranty,125,66.64,felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus
2082,Manufacturer's special warranty,548,88.13,volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea
2083,Additional reseller's warranty,365,70.06,quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida
2084,Full manufacturer's warranty,93,96.38,primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae
2085,Manufacturer's special warranty,125,93.97,diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est
2086,Manufacturer's special warranty,125,73.24,libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum
2087,Additional reseller's warranty,548,98.62,eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus
2088,Full manufacturer's warranty,183,60.86,nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in
2089,Standard Manufacturer's,365,63.59,erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi
2090,Standard Manufacturer's,93,92.59,congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec
2091,Additional reseller's warranty,93,75.69,sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae
2092,Standard Manufacturer's,125,76.64,dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti
2093,Manufacturer's special warranty,548,86.63,elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi
2094,Additional reseller's warranty,125,74.22,tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim
2095,Standard Manufacturer's,548,94.16,duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus
2096,Full manufacturer's warranty,183,62.36,donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in
2097,Full manufacturer's warranty,548,77.26,purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur
2098,Manufacturer's special warranty,548,63.26,non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros
2099,Manufacturer's special warranty,125,70.01,est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce
2100,Standard Manufacturer's,93,75.17,vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor
2101,Manufacturer's special warranty,125,84.57,blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse
2102,Standard Manufacturer's,548,94.61,pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar
2103,Additional reseller's warranty,548,75.98,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae
2104,Additional reseller's warranty,183,63.42,mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula
2105,Full manufacturer's warranty,93,71.03,ullamcorper purus sit amet nulla quisque arcu libero rutrum ac
2106,Full manufacturer's warranty,183,95.39,lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in
