SupplierID,SupplierName,SupplierEmail,SupplierPhone,SupplierDescription
1,Mynte,gzwicker0@altervista.org,+86 823 356 9805,turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus
2,Babbleblab,scattow1@discovery.com,+86 723 474 9339,ac consequat metus sapien ut nunc vestibulum ante ipsum primis in
3,Mudo,ahucker2@1688.com,+55 533 420 2735,integer aliquet massa id lobortis convallis tortor risus dapibus augue
4,Yakijo,ssadlier3@ocn.ne.jp,+7 704 761 3904,a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed
5,Kamba,tlowis4@comcast.net,+27 812 497 9045,neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet
6,Voonte,bizard5@angelfire.com,+358 715 508 2761,vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor
7,Ozu,arumbelow6@virginia.edu,+7 305 724 7707,viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis
8,Katz,morigan7@pcworld.com,+86 225 967 6987,nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula
9,Thoughtstorm,epeter8@163.com,+62 162 239 8969,turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi
10,Skipfire,nsalerg9@lulu.com,+51 555 549 6369,maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum
11,Eamia,dspracklina@ameblo.jp,+241 740 315 0349,quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea
12,Youopia,olowdhamb@archive.org,+63 648 267 4670,nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla
13,Photolist,dtrewhellac@altervista.org,+420 846 954 2350,consequat nulla nisl nunc nisl duis bibendum felis sed interdum
14,Dynabox,rrudkind@wsj.com,+55 522 740 8901,luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique
