SupplierID,ProductID,Date,LocationID,SumPrice,AmountProducts
4851,62889,2023-02-18,9920,57273,7
1088,178739,2022-07-02,11742,75839,93
7448,208830,2022-03-15,7911,45221,83
6952,216443,2021-02-26,14980,86968,10
13430,371872,2021-11-07,9027,20841,48
1355,3496,2021-01-15,2140,81720,61
9138,302943,2022-12-22,13537,53188,100
7955,174698,2019-03-20,13041,78877,78
8347,109302,2020-09-28,6928,14486,42
7882,387377,2023-12-07,10869,96655,77
14813,66057,2019-01-16,12012,64171,69
380,261528,2024-09-16,985,47686,95
9499,45177,2019-04-17,12455,59697,30
10938,370542,2024-07-20,1515,34042,41
4917,118321,2022-10-25,6889,52613,57
14662,252526,2023-04-19,11453,72097,77
9962,52125,2024-02-19,4480,74879,89
11215,198310,2022-09-03,12329,94540,43
3562,163384,2020-11-17,13315,53384,21
5303,308451,2020-09-02,4002,62380,23
14417,57278,2024-03-17,10626,80043,33
11513,249340,2020-12-08,3601,94210,21
894,323147,2022-03-18,11682,62553,12
11234,71852,2020-12-09,3515,53893,40
1246,333388,2021-07-01,6267,42904,16
13663,39827,2021-06-07,13231,40513,81
14121,282525,2020-01-19,12427,23624,96
9175,39949,2024-01-03,1057,31815,88
87,22335,2021-10-30,7035,32315,90
2434,9893,2023-01-12,2405,59375,95
3897,35551,2022-08-10,7199,38318,36
6082,179534,2024-06-15,12758,79057,28
5092,340057,2021-04-03,7045,58386,35
2259,328363,2020-06-02,11904,26927,87
9179,341477,2023-10-17,14925,89425,44
2241,313511,2023-01-14,12276,66167,84
10080,176835,2019-04-27,1819,38692,17
12511,281629,2019-08-16,4415,13700,53
8086,212378,2019-05-23,6543,98992,15
4683,107593,2022-04-21,4106,92529,7
11301,362447,2024-07-14,6327,18671,72
1289,140220,2022-04-29,4268,61288,15
11371,218207,2024-08-11,11605,72175,18
13281,113663,2021-10-11,12649,75545,9
13578,85928,2022-12-26,12208,78929,58
1173,156673,2023-08-02,414,38096,94
3354,222952,2020-01-17,10805,32326,18
14937,168938,2019-11-14,7041,35986,98
7258,272052,2021-03-01,1929,37311,87
12376,203944,2024-04-04,164,50918,61
10356,365503,2024-10-18,9145,20138,11
13743,96088,2024-08-08,10910,67868,19
4019,350540,2023-09-23,2437,37757,73
11721,153992,2024-07-17,12748,32377,8
4279,113367,2021-01-09,7281,41203,15
7576,336477,2024-02-16,3838,19799,98
7093,125684,2020-02-10,6367,7874,74
3588,136848,2022-04-26,3020,13939,21
9612,277147,2020-02-06,3068,19169,44
1909,32026,2024-03-17,13260,19957,38
1712,377752,2021-07-30,6429,15728,10
1350,74747,2020-03-03,2906,82054,46
8775,137126,2021-11-18,2827,96365,96
6155,227081,2019-05-25,14670,87479,35
5911,205357,2019-03-27,1116,72843,79
5141,188157,2023-02-10,14014,62672,71
10413,68356,2024-04-12,11625,22607,14
1542,43385,2023-05-10,7754,7507,69
7314,295228,2022-09-08,5096,87253,73
6006,89030,2024-02-26,9592,51025,7
3810,294295,2024-06-22,2595,58138,13
6939,120302,2023-02-01,14404,86979,41
4368,379318,2020-09-27,8211,60533,53
13613,227950,2019-03-23,13889,91529,2
12,284942,2024-08-01,7786,12911,27
14845,22226,2020-07-02,13302,10677,28
13985,57752,2022-07-29,12197,17887,69
12765,259883,2019-11-28,12921,5108,22
10828,163231,2024-10-11,3249,34930,15
1696,231501,2021-09-22,3381,50124,35
7081,314331,2020-10-10,10057,52987,5
6041,304127,2019-03-18,11713,16262,98
12633,97526,2023-11-04,4495,63174,11
7747,111759,2023-10-24,7539,80455,86
2820,247446,2020-11-14,179,23237,70
8959,360765,2021-02-13,311,8420,62
3335,216837,2023-10-02,4944,62434,73
14769,125391,2021-03-09,5092,81787,2
14595,212985,2023-05-21,4357,89285,57
3445,241445,2019-06-11,6588,22485,54
4814,394209,2022-05-05,9011,39237,62
10217,130046,2019-11-19,3112,63484,6
14407,169549,2023-08-15,8646,20673,65
14102,355166,2022-08-01,3504,64929,97
7463,5613,2022-08-13,9761,28867,7
14505,370692,2022-06-26,8481,53465,40
2109,362531,2020-09-09,9230,84288,88
4996,72465,2023-10-28,3291,33719,96
9634,386981,2021-05-11,246,79874,97
13274,284146,2020-01-30,4425,50724,10
823,67330,2019-12-20,10533,55139,96
3647,384560,2019-11-04,10882,43003,35
12888,332943,2023-09-17,12274,10720,85
11863,38199,2023-08-23,3898,19877,54
5615,374680,2022-04-13,4664,87075,51
2639,212374,2024-01-29,10668,13051,50
13976,43167,2020-09-03,2002,7946,81
12201,110535,2024-03-01,12524,93923,9
2429,83271,2024-04-14,4416,47698,28
4544,294938,2020-06-05,3912,7482,6
1202,302643,2019-04-14,2788,82234,57
4027,23259,2019-02-27,2623,80073,73
13248,209401,2019-02-18,2479,58777,42
1199,394470,2021-01-07,13486,88352,85
9969,360979,2023-01-22,8953,97285,95
2666,174266,2022-08-15,4609,48222,36
13145,196558,2020-07-20,12802,75414,4
3015,58702,2019-08-27,843,23701,17
2236,176544,2021-10-13,7819,96221,14
590,181795,2020-06-12,5470,30346,34
13462,399352,2020-11-30,10511,26846,24
14403,76126,2024-02-19,11594,37880,46
13186,173221,2024-12-03,9697,77223,29
1040,310187,2021-07-16,12921,64819,24
5602,42712,2019-09-30,6273,55119,15
3707,321090,2021-08-15,2323,63627,93
1351,267110,2020-05-27,9421,61639,87
8987,303440,2021-06-05,4447,80135,65
7378,125513,2021-01-21,11285,68583,5
13306,247656,2025-01-02,13199,82106,36
1544,96125,2024-12-31,6196,31301,45
10029,365908,2019-06-13,11960,54211,77
11085,335070,2021-06-25,4246,42647,24
9687,362075,2019-05-19,1349,36805,29
2345,343634,2023-01-20,4258,67128,59
13483,379629,2023-08-12,9111,86848,95
5361,370178,2025-01-01,7516,60634,17
13367,195941,2023-04-02,7566,26779,66
10112,45628,2023-08-02,6499,76367,31
5655,149071,2022-08-28,1663,91082,75
3318,198788,2022-12-21,9497,44655,46
3203,111173,2021-05-09,11443,76245,37
6925,57605,2022-02-11,671,4311,48
364,8105,2023-02-20,10663,21737,68
10181,87106,2021-04-26,7239,35351,31
2265,235471,2023-01-24,7425,55365,1
3198,6332,2023-10-20,5060,76510,74
14859,202004,2019-05-25,936,19139,37
10091,19022,2023-12-21,10701,83595,31
1625,38999,2024-04-15,14671,33301,99
12971,123143,2021-09-20,10127,19844,42
3147,2145,2020-01-07,9983,8713,57
9146,74160,2019-05-11,13490,21925,79
6716,7179,2019-06-21,6500,96860,73
3282,72600,2023-10-25,11502,90799,91
9522,23254,2020-08-10,13236,19211,62
11777,151252,2022-08-08,11116,7706,52
1512,362266,2024-05-22,13930,20026,21
3226,253154,2020-07-13,11555,44359,40
11540,376269,2021-02-16,7277,7314,83
11146,326057,2019-02-02,11283,71259,96
8762,288421,2019-07-24,14091,76258,7
10272,30842,2024-06-26,6479,95197,10
7819,254069,2023-09-09,5358,35836,40
13943,306536,2024-08-02,4163,79119,13
13571,34555,2019-08-06,14539,81130,80
6038,390705,2019-08-19,6603,23344,11
11278,5902,2023-04-14,4910,14264,45
10674,386971,2021-05-17,1577,15797,48
1391,100972,2025-01-07,14524,70903,96
14122,104227,2021-04-26,1945,52093,61
4483,357875,2021-12-07,2426,29542,78
3209,98969,2020-01-24,13015,16734,21
11889,152392,2023-06-14,3056,52094,80
7097,80590,2019-09-10,10658,69757,17
1716,58860,2024-04-10,16,66329,79
3205,89748,2020-05-01,1890,52329,41
12896,247523,2019-03-04,11074,48751,5
13168,1614,2024-11-30,337,84530,35
12268,349355,2019-12-25,9986,11716,96
10796,30472,2022-03-21,2288,20877,15
8,83764,2021-09-21,7840,58258,1
8283,264663,2023-07-17,11150,74667,43
7785,201582,2022-10-06,6854,45320,1
26,14181,2019-10-20,10361,67171,58
9125,289439,2022-01-03,5523,33534,11
7352,302932,2023-06-28,12646,72889,12
14156,86372,2024-03-22,1173,43983,90
5857,177066,2021-02-18,5414,19984,6
774,197263,2023-08-06,12373,61668,86
11790,52325,2020-07-17,1655,80900,25
2650,366112,2023-07-28,4402,52737,61
7113,372211,2020-07-02,463,96979,94
3431,391635,2019-08-02,7440,63078,34
10116,222168,2023-07-24,7895,7852,49
9973,233468,2022-10-14,1846,75025,73
13406,262826,2020-12-30,6318,81875,83
8870,193768,2022-11-21,6536,21138,62
1508,79253,2024-02-08,494,98608,7
9397,112534,2022-09-28,13890,83106,14
3127,383433,2023-09-07,2089,12537,17
6358,189352,2021-05-19,5159,88573,26
7864,251789,2021-06-05,11717,53778,29
4138,372337,2020-05-25,8141,32346,54
8212,86153,2019-02-18,5342,78369,68
12230,136515,2023-10-11,8272,7621,74
7917,286295,2024-03-17,8469,89746,53
7892,319601,2020-03-30,10859,87226,9
861,275377,2024-03-12,1085,20824,2
6396,25122,2022-08-17,1888,86437,43
9195,140244,2024-08-18,7966,61068,38
14938,361168,2021-08-05,255,9213,41
6556,151022,2021-01-09,3410,4071,9
12804,398162,2023-01-25,3985,10448,28
1665,335861,2019-07-07,14941,72508,50
14868,359824,2022-07-24,4637,35501,76
3649,60591,2024-11-16,4086,44569,13
5550,123542,2021-03-31,9202,9254,42
1135,83433,2024-07-02,2435,7627,38
6679,323115,2023-01-16,6603,74322,34
11249,40404,2022-03-29,13108,70931,1
5656,323705,2020-07-15,7198,72293,35
12727,252246,2023-06-11,3904,74912,34
2687,367876,2022-03-07,13092,37514,54
10085,213682,2023-05-02,10675,65118,23
11628,311604,2024-08-21,2577,45490,79
3628,122533,2019-04-13,1620,31463,66
14339,213082,2023-01-04,5629,16178,33
1049,385931,2024-02-12,14141,33967,92
4734,126967,2020-02-11,11847,68200,69
12056,212541,2019-04-30,521,23440,74
10094,250031,2022-09-10,12112,31474,3
10812,306932,2022-04-02,5126,60653,50
7570,358673,2023-08-02,8778,98447,64
418,279847,2023-11-28,7735,62389,86
14745,362816,2020-10-12,3609,7068,84
12180,10354,2022-10-27,11685,70366,60
12811,86515,2021-09-06,11399,87848,20
9124,86458,2021-11-06,9045,23641,94
2526,297035,2023-08-09,7841,91735,75
13720,62049,2019-10-03,7498,16273,79
1774,191513,2022-12-27,274,92216,4
8223,37598,2023-08-20,6049,80898,76
1505,224311,2022-10-22,11283,49447,91
1529,215234,2021-07-09,11284,46145,60
4685,199751,2022-11-17,13784,76452,89
12752,134127,2020-05-05,2820,83909,58
580,171000,2020-08-03,7531,98225,24
13880,194752,2019-06-02,12541,99471,28
2622,335913,2022-12-18,4503,9931,90
5744,288871,2019-08-12,13869,65511,75
6788,376863,2023-12-21,13010,64714,60
10733,322129,2024-08-04,621,77477,88
8039,378502,2021-05-05,382,48885,80
1280,119992,2022-10-08,55,52635,69
6606,258398,2022-11-22,7068,31987,24
9032,26862,2021-05-06,7774,14293,76
8036,345853,2020-09-21,9147,59888,28
1037,301429,2020-12-10,1994,26445,66
5239,315024,2022-07-13,13737,82487,98
5754,281091,2020-10-13,8451,18968,23
7643,10916,2019-09-02,3357,25667,17
11118,88693,2022-03-05,4501,24583,57
11810,315933,2020-10-02,12357,40123,66
13519,216038,2019-08-03,2973,19738,30
4926,155568,2024-05-06,8302,60060,90
12557,97367,2019-02-02,14545,16936,14
13318,371951,2019-01-18,925,15789,91
92,45891,2022-01-28,12189,10950,11
14424,164132,2023-04-24,11001,42632,84
859,86460,2024-05-30,10810,94880,9
5528,105591,2021-02-25,14091,81009,32
5860,15524,2021-08-25,10560,62260,1
13824,58846,2019-03-19,7677,48454,84
12782,317395,2024-03-23,485,61599,72
7085,370386,2019-09-14,4219,23243,46
1255,271236,2019-08-16,144,45844,62
8825,345305,2023-05-06,8528,20942,14
1463,312790,2023-04-18,14070,81773,94
12348,217561,2020-05-28,9852,57360,61
13556,357917,2024-07-27,12182,24944,38
795,104178,2021-11-09,5761,34182,45
536,383474,2022-03-05,768,51279,91
7687,91571,2021-02-02,9847,32142,90
9257,356096,2023-12-11,5128,76536,21
6178,66425,2022-11-30,3019,95628,11
7896,339563,2019-07-31,13121,57970,9
13681,47942,2024-09-30,5051,42316,30
11979,294736,2021-04-16,8639,80293,58
12854,248134,2020-09-18,13008,92748,93
6427,23141,2022-04-23,5949,22008,92
13860,190160,2019-11-17,6095,50113,6
9177,266002,2022-05-16,753,74465,1
13022,127721,2019-12-29,10761,29191,22
13782,269700,2022-09-27,14142,16562,93
7335,134851,2020-04-14,3176,75255,80
6930,361457,2022-08-11,2202,60358,91
8929,192286,2019-05-26,9736,24708,50
8118,290057,2020-08-15,11734,38925,27
11540,236241,2024-01-02,8690,24308,24
1785,251913,2022-10-28,2341,81206,98
9031,101662,2024-02-06,9728,14693,48
9839,263869,2024-04-22,14432,57548,24
5984,276452,2023-08-02,7622,5859,84
3255,288028,2019-09-01,13815,11901,10
553,91012,2024-05-24,8958,10883,10
11563,124231,2019-11-13,7161,33042,10
4777,286636,2019-02-17,8520,87760,56
197,203611,2024-02-24,625,31473,25
14755,378806,2019-10-05,14370,25863,74
12691,4870,2020-06-05,11687,34240,48
10759,392179,2019-06-12,13584,96335,85
12199,78177,2024-11-05,7555,10412,34
5272,173672,2019-01-10,974,62699,76
11847,179706,2019-03-04,4186,99015,57
404,95125,2024-11-13,10580,58238,59
2840,121390,2022-05-03,12694,38320,16
3427,368565,2024-11-11,11294,77702,18
6519,145500,2022-01-11,12757,35903,84
4836,176483,2020-09-06,6102,31729,88
5115,160520,2020-11-11,3809,23241,44
2339,57452,2024-12-15,10857,91076,71
6747,252702,2023-04-24,8892,88630,94
8360,79576,2023-12-27,10443,62947,6
8164,398458,2021-10-11,3621,54291,20
10270,364552,2019-05-27,3669,70911,100
2341,394364,2024-06-11,14077,67578,29
2021,142991,2021-04-06,11998,13534,90
3731,40094,2019-01-11,14432,84477,7
1372,295315,2023-01-08,7947,14707,37
10485,344659,2023-04-10,12742,50452,88
3920,391290,2023-05-18,4643,34012,54
3079,140662,2021-02-02,7855,11954,58
5639,98124,2019-03-03,2298,72929,53
8997,271576,2021-10-20,6948,72746,62
5207,350914,2019-12-12,10084,63936,5
3878,127573,2019-06-27,11666,13793,81
10359,101430,2021-08-23,13344,18216,16
11142,8869,2023-09-26,5969,5905,75
3159,82582,2024-02-13,13397,99800,7
4616,98913,2024-04-06,2956,28640,37
5,203750,2022-05-27,10519,98287,28
6300,116176,2021-08-05,1496,46526,32
10810,309750,2024-02-24,5003,66724,71
