SupplierID,ProductID,Date,LocationID,SumPrice,AmountProducts
14002,108929,2024-03-09,8096,36248,60
1372,136275,2020-02-19,5462,84666,22
1597,373644,2020-02-10,4150,7823,49
9835,337518,2020-03-19,10131,5099,1
9384,187411,2020-09-30,12426,20275,54
6089,331423,2020-07-03,9365,80176,96
4140,187867,2023-04-21,12503,77391,98
4405,193083,2023-08-04,2993,44804,24
10945,312595,2020-11-28,3807,96418,46
7198,300427,2022-05-24,1755,89428,52
8555,232532,2024-10-30,4266,88429,9
2141,320018,2021-09-01,13646,56066,43
2251,263434,2021-08-07,8902,88794,94
3039,141570,2020-09-22,3861,4212,95
5996,235731,2021-01-22,7178,76887,48
80,301197,2023-09-11,13817,50407,46
124,113840,2022-11-01,2761,43354,87
4647,140302,2023-12-15,11019,47696,12
6231,232541,2021-04-06,11713,92136,64
2530,318166,2021-01-08,11623,44702,65
3149,374538,2020-01-13,2980,50371,32
2946,338020,2020-02-01,11517,65968,1
6558,51327,2024-08-05,7648,76645,56
744,387011,2019-12-16,4574,83342,52
7739,110185,2022-09-09,4307,52365,28
2692,769,2022-03-27,2802,90517,24
11074,175825,2021-07-15,8204,22487,66
2031,232713,2021-11-30,11575,49791,14
4747,380756,2020-03-18,1112,37817,35
12072,145874,2019-08-14,14015,88440,69
12095,238283,2020-01-01,3864,73250,74
1409,59570,2023-01-31,4896,44297,53
8108,330300,2022-08-23,14606,99118,76
3840,181401,2020-01-26,8842,10236,88
11327,167831,2024-06-23,14467,86017,33
7079,220938,2022-05-26,11936,31537,93
6556,308922,2023-01-30,14748,64305,44
11207,314183,2019-06-21,10966,9666,6
3425,190175,2023-11-28,6807,43347,85
1259,211489,2020-10-12,5187,89283,12
4183,13557,2024-08-07,6289,69464,81
4864,177903,2021-12-17,7367,39057,94
543,118348,2020-01-27,3757,66158,57
4749,54995,2021-09-21,502,11062,5
9613,398713,2024-04-18,6891,30685,61
13051,65998,2020-12-05,7521,67682,95
10169,121296,2020-06-18,8308,63525,63
13547,221258,2021-04-16,11978,55333,70
9732,367447,2024-03-09,13367,46286,32
13272,14686,2022-04-18,7497,38902,80
2479,357266,2019-05-05,6300,27972,63
4996,91609,2021-07-03,9285,57858,51
14469,372448,2024-07-27,1882,90160,72
13850,17946,2023-03-28,10251,46864,58
11171,122458,2019-04-26,12215,29562,42
9064,167992,2021-02-07,6162,34555,95
11990,287212,2019-11-20,1855,80922,14
10844,1254,2019-03-03,97,74166,37
3793,149098,2021-05-16,14019,96102,1
2286,147728,2024-09-29,11131,53205,43
14701,191242,2022-05-19,7228,29769,6
2592,65212,2019-05-15,9588,90650,15
7978,301065,2021-06-27,6659,12713,63
6668,363132,2020-06-07,9933,47176,52
6368,330269,2020-02-21,11479,17657,75
14099,210899,2024-10-07,7917,16931,7
2335,5410,2019-09-05,4621,33819,52
4607,389309,2021-08-31,7517,19553,81
9316,393214,2021-10-25,1172,56599,12
5267,87558,2020-04-27,14444,13889,4
8919,383787,2022-01-25,14741,6636,97
2437,360877,2024-06-27,11383,73179,35
12383,181397,2019-03-31,13799,57170,76
5169,318407,2019-02-10,10042,25560,96
6467,21755,2023-12-06,14308,76071,85
11379,350690,2022-10-11,1840,63219,3
5928,1454,2023-07-18,828,45644,18
8754,2819,2021-10-24,7109,18354,36
10639,59270,2021-04-20,9562,75939,27
506,63160,2019-09-05,10936,42061,98
185,287206,2021-08-07,5363,37601,85
31,65568,2022-04-02,6399,84679,78
10521,210275,2024-08-08,6489,84124,97
8913,222204,2023-06-04,9641,92303,78
4672,22126,2022-10-28,5343,68410,28
14260,175195,2024-09-07,11928,85903,61
10194,70566,2019-10-22,8173,85982,78
3205,21322,2025-01-04,604,66937,69
10791,326115,2022-07-11,13197,4025,56
11792,133221,2020-06-06,9334,80236,42
10231,147660,2019-08-28,14478,79212,61
4928,14590,2023-03-05,6254,46450,72
10000,235906,2021-05-23,7556,5907,98
14562,33526,2023-02-12,403,45510,7
7609,192656,2023-08-01,2731,48437,31
