Data,PaymentID,GarantyID,ClientID,DiscountID,ProductID,AmountProducts,TotalPrice,TotalPriceDiscount,EndGaranty
2019-09-11,24,25216,4302,54,56247,53,9312.4,28050.78,2019-12-17
2019-04-19,62,29505,2419,75,32284,26,1683.52,3081.23,2020-09-09
2019-11-11,92,40786,8238,76,12623,31,6191.5,27768.9,2019-06-12
2019-10-19,89,37533,3136,42,26521,54,83.57,46771.26,2021-10-21
2019-01-16,39,16129,881,20,41549,42,7865.81,23345.56,2020-04-01
2019-09-12,84,39619,6250,47,59094,62,6665.88,1187.84,2019-04-06
2019-12-13,34,8799,7393,49,1801,42,3550.31,37891.51,2021-09-20
2019-03-09,7,55212,2432,14,60836,59,1644.72,40488.12,2021-12-19
2019-07-02,23,57390,1105,39,22362,67,6238.18,38680.31,2019-07-31
2019-12-28,35,45703,7537,5,3398,83,5294.95,21039.39,2021-10-01
2019-11-25,84,66717,4231,82,9475,2,7699.76,48935.66,2021-04-02
2019-05-30,16,27805,6951,55,47459,95,5688.74,37928.98,2020-08-28
2019-03-10,24,57595,4274,63,10707,68,4273.74,7636.27,2020-10-26
2019-10-28,78,24656,3380,23,10605,83,1506.46,11719.29,2021-05-06
2019-12-14,73,38769,1005,91,50856,69,480.19,27023.49,2019-12-10
2019-02-16,71,43533,8460,29,23665,33,7941.65,37662.7,2021-06-17
2019-06-17,26,8986,925,91,37494,73,6791.48,37232.57,2019-10-18
2019-03-04,24,13448,4247,8,7571,91,5411.81,36712.36,2021-09-28
2019-06-27,69,72102,2203,96,30077,55,8034.33,31858.9,2021-09-21
2019-05-06,22,10074,5304,92,49466,58,7213.49,411.49,2019-04-05
2019-09-11,77,11202,8757,91,47092,59,5713.59,9679.34,2020-05-23
2019-07-09,87,52162,1132,75,28150,84,4249.19,6495.4,2020-01-27
2019-12-06,23,34493,3764,61,61218,48,6036.73,14997.92,2020-01-03
2019-03-08,39,60476,7557,78,54930,77,2939.6,39501.74,2019-11-09
2019-06-12,5,57596,3832,82,38704,51,7137.57,39676.94,2021-06-03
2019-09-08,75,1333,981,64,58439,54,6676.46,33884.01,2019-09-17
2019-03-15,75,55901,1021,62,193,12,5056.78,14242.31,2020-01-01
2019-02-01,66,52357,4757,2,38169,90,8068.06,47338.1,2019-11-04
2019-04-28,38,6340,2605,32,557,23,5625.95,20819.11,2019-06-06
2019-11-03,5,72788,4276,62,813,66,474.92,37814.87,2019-09-26
2019-11-24,65,4030,3768,85,32861,30,1436.04,36510.52,2021-03-22
2019-08-20,89,44267,3663,73,50462,80,1847.57,27644.71,2021-08-28
2019-09-14,94,5328,9184,37,22216,99,5303.65,4578.84,2020-10-25
2019-12-03,46,36562,7615,54,4635,26,4870.12,40115.41,2020-02-05
2019-08-11,25,35164,6519,91,597,3,4902.15,11091.68,2020-08-19
2019-03-26,40,24343,1320,85,51774,20,5304.82,24974.55,2021-08-04
2019-03-13,55,63148,8124,78,18532,53,2279.88,38481.36,2020-02-18
2019-09-24,69,34269,1865,70,39938,96,4052.0,8787.4,2019-04-11
2019-09-25,11,8049,1467,70,36778,45,3333.22,39538.68,2021-05-03
2019-11-06,64,31291,2452,69,59254,59,5496.15,40043.93,2020-04-24
2019-12-07,97,12377,4845,99,54372,51,2364.87,48111.34,2021-06-17
2019-04-18,80,15678,7525,96,6231,83,3676.17,5315.52,2021-07-17
2019-07-16,36,15407,2548,12,8134,70,9153.47,38802.58,2020-05-09
2019-09-18,51,33526,1649,24,27047,68,201.08,10423.76,2021-10-05
2019-11-30,95,34381,2387,95,11725,72,6019.42,23967.11,2020-10-29
2019-07-06,39,11967,7044,61,47036,48,3087.78,49816.77,2020-07-22
2019-10-24,94,4863,114,18,55169,56,6972.03,31610.41,2020-02-03
2019-09-22,70,72843,8554,41,27000,69,5152.18,35474.58,2019-04-19
2019-03-24,89,39942,7685,11,52165,94,7178.83,30396.16,2020-05-08
2019-11-09,87,72394,5211,5,4302,11,9424.8,37147.85,2020-03-03
2019-02-08,17,48237,2125,1,13905,80,1374.09,36340.54,2020-12-19
2019-01-30,8,27875,4319,22,60656,81,520.45,6160.24,2020-05-20
2019-02-08,14,33403,6659,2,19100,37,7281.93,27227.43,2021-11-08
2019-08-15,9,9196,245,55,4479,49,9644.44,17906.19,2019-08-06
2019-09-21,25,16268,2900,91,16689,37,3596.41,49320.11,2020-02-03
2019-11-13,94,38203,3901,30,56088,74,7656.97,42763.75,2020-07-19
2019-11-18,100,28194,4057,97,59912,82,1283.41,26271.55,2020-04-21
2019-05-20,63,9023,9139,82,47905,46,7156.62,9492.93,2021-01-05
2019-10-26,61,25052,1795,38,51486,50,4525.87,4291.23,2021-09-29
2019-07-30,87,7058,1869,28,8909,17,3274.01,2367.39,2020-07-08
