LocationID;Country;Region;City;Adress;PostalNumber;DeliveryService
1;Tanzania;Africa/Dar_es_Salaam;Bungu;27 Mayfield Drive;4089;Bergnaum, Terry and Tromp
2;China;Asia/Chongqing;Jinshan;9 Trailsway Crossing;53613;Bogisich Inc
3;Spain;Europe/Madrid;Barcelona;4457 Macpherson Junction;30816;Kunze, Tremblay and Windler
4;Honduras;America/Tegucigalpa;Casa Quemada;7 Browning Avenue;57780;Hackett, Dicki and Lakin
5;South Korea;Asia/Seoul;Pohang;96 Autumn Leaf Avenue;62598;Grady, Metz and Pouros
6;France;Europe/Paris;Tours;3 Lighthouse Bay Avenue;62120;Connelly, Abbott and Hirthe
7;North Korea;Asia/Pyongyang;Kaesŏng;3824 Brown Alley;44671;Weber, Jacobson and McLaughlin
8;China;Asia/Chongqing;Fuji;82 Kenwood Terrace;34750;Beer Inc
9;Greece;Europe/Athens;Gérakas;767 Truax Crossing;80484;Marks, Schimmel and Davis
10;China;Asia/Chongqing;Zhongzhai;53388 Onsgard Hill;6894;Green, Huel and Heidenreich
11;Sweden;Europe/Stockholm;Stockholm;4914 John Wall Place;83526;Klocko-Purdy
12;China;Asia/Shanghai;Qizili;64 Muir Court;12683;Halvorson-Gerhold
13;Estonia;Europe/Tallinn;Rakvere;025 Holy Cross Drive;70345;Blick and Sons
14;France;Europe/Paris;Bordeaux;2 Rutledge Center;97868;Koelpin, Lubowitz and Ledner
15;Indonesia;Asia/Jakarta;Bojong;81 Forest Run Plaza;94198;Hackett-Leuschke
16;Ukraine;Europe/Simferopol;Scholkine;5186 Bay Road;55402;Ondricka, Bashirian and Lowe
17;Russia;Europe/Moscow;Islamey;4747 Glendale Way;1601;Wolff-Ondricka
18;France;Europe/Paris;Valence;4 Brickson Park Street;3082;Kreiger-Gislason
19;China;Asia/Chongqing;Neiguan;85173 Erie Terrace;37945;Hoppe, Kulas and Wolff
20;Peru;America/Lima;Nueva Arica;17055 Mccormick Crossing;84377;Kutch Group
21;Czech Republic;Europe/Prague;Břasy;73367 Shelley Park;61913;Bednar, Schroeder and Anderson
22;Ukraine;Europe/Zaporozhye;Rozkishne;522 Rieder Avenue;79255;Morar-Langosh
23;Indonesia;Asia/Makassar;Seririt;28336 Carpenter Way;18342;Bergstrom Group
24;Russia;Europe/Moscow;Zhiletovo;6679 Forest Point;72720;Kub, Stoltenberg and Powlowski
25;China;Asia/Chongqing;Pangushan;4446 Garrison Avenue;39935;Gutkowski and Sons
26;China;Asia/Shanghai;Xinzhou;3 Toban Alley;33782;Wyman, Davis and Doyle
27;Peru;America/Lima;Cahuanuyo;65 Pearson Parkway;38603;Roob-Hickle
28;Togo;Africa/Lome;Atakpamé;08 Texas Center;3864;Klein-Schultz
29;Indonesia;Asia/Makassar;Madan;50 Green Pass;62716;Hahn, Glover and Homenick
30;Poland;Europe/Warsaw;Zator;30 Lighthouse Bay Drive;35465;Skiles-Waters
31;France;Europe/Paris;Limoges;9 Golf View Parkway;45081;Weissnat-Kulas
32;Indonesia;Asia/Jakarta;Klatakan;9 Red Cloud Crossing;46206;Weimann, Rau and Bahringer
33;Armenia;Asia/Yerevan;Lorut;0 Corben Pass;91034;Marquardt LLC
34;Morocco;Africa/Casablanca;Tanalt;146 Troy Road;41048;Effertz-Kutch
35;United Kingdom;Europe/London;Newport;8553 Kenwood Road;94840;Hoeger, Lubowitz and Kuhn
36;Philippines;Asia/Manila;Tubo;6185 Chinook Alley;59364;Becker, Schoen and Ryan
37;Indonesia;Asia/Makassar;Witihama;0432 Mcguire Parkway;73463;Barton, Kertzmann and Smith
38;China;Asia/Chongqing;Wenlin;36880 Dunning Park;42620;Christiansen Group
39;China;Asia/Chongqing;Zhongzhou;0 Arapahoe Court;97056;Bergstrom-Dickens
40;Hungary;Europe/Budapest;Budapest;07518 Main Trail;37748;Schaden, Schulist and Kihn
41;Mexico;America/Mexico_City;San Agustin;12909 Valley Edge Pass;14080;Trantow, Wiza and Witting
42;Poland;Europe/Warsaw;Jeżów;944 Kinsman Alley;62523;Veum-Shields
43;Kyrgyzstan;Asia/Bishkek;Tash-Kumyr;3 Superior Hill;11087;Kertzmann-Schuppe
44;Sweden;Europe/Stockholm;Emmaboda;29 Evergreen Point;78182;Sporer LLC
45;China;Asia/Chongqing;Huangjingba;70 Golf View Crossing;2855;Schamberger-Hirthe
46;El Salvador;America/El_Salvador;Guazapa;1641 Burning Wood Hill;93981;Stehr, Hermann and Hoppe
47;Uruguay;America/Montevideo;Nuevo Berlín;75826 Crowley Road;71859;Price, Koss and Stokes
48;Netherlands;Europe/Amsterdam;Heemskerk;181 Fisk Center;33067;Keebler Inc
49;Portugal;Europe/Lisbon;Outeiro Seco;29097 Comanche Alley;47738;Lehner LLC
50;Canada;America/Montreal;Neuville;5015 Scofield Junction;39190;Bruen-Witting
51;Mongolia;Asia/Ulaanbaatar;Sangiyn Dalay;76938 Declaration Street;49612;Anderson, Feeney and Roberts
52;Peru;America/Lima;Huayucachi;378 Banding Court;14605;Auer, Keebler and Cremin
53;Argentina;America/Argentina/Jujuy;Calilegua;8 Caliangt Trail;55672;Lebsack, Mayert and Herzog
54;Nigeria;Africa/Lagos;Suleja;46325 Fuller Trail;74151;Lind LLC
55;Poland;Europe/Warsaw;Murcki;833 Barby Drive;76685;Kessler, Turcotte and Rempel
56;Cuba;America/Havana;Puerto Padre;1 Pleasure Center;58818;Bahringer Group
57;Guatemala;America/Guatemala;Jutiapa;05 Shopko Point;40989;Ziemann-Kulas
58;Thailand;Asia/Bangkok;Bang Lamung;6 New Castle Avenue;23714;Murray-Lind
59;Peru;America/Lima;Chugay;86522 Meadow Vale Point;50186;Kilback Inc
60;China;Asia/Shanghai;Yangmiao;74672 Old Shore Crossing;76598;Cummings, Spencer and Beier
61;Indonesia;Asia/Jakarta;Culeng;1 Arapahoe Circle;12411;VonRueden-Kohler
62;Mongolia;Asia/Ulaanbaatar;Hüremt;099 Blue Bill Park Way;53883;Wolf Inc
63;Afghanistan;Asia/Kabul;Khulm;88 Wayridge Lane;24670;Lynch, Bergstrom and Witting
64;Papua New Guinea;Pacific/Port_Moresby;Kavieng;37843 Anzinger Court;91673;Zulauf Inc
65;Yemen;Asia/Aden;Rumāh;95040 Dapin Circle;26930;Mann, Smitham and Carter
66;China;Asia/Shanghai;Daciyao;55 6th Hill;86283;Treutel, Mayert and Marvin
67;Hungary;Europe/Budapest;Tatabánya;773 Duke Junction;55558;Kerluke Group
68;Indonesia;Asia/Jakarta;Pamanukan;35064 Bluestem Center;41153;Stanton, Thompson and Ferry
69;Vietnam;Asia/Ho_Chi_Minh;Sơn Tịnh;25733 Maple Wood Hill;75793;Daugherty Group
70;France;Europe/Paris;Marseille;016 Gulseth Park;47113;Johnston and Sons
71;Brazil;America/Sao_Paulo;Garça;194 Cascade Avenue;92716;Wiegand, Carter and Steuber
72;Poland;Europe/Warsaw;Konin;13979 5th Pass;31203;Aufderhar LLC
73;Russia;Asia/Yakutsk;Nerchinsk;17219 Nevada Junction;95069;Krajcik and Sons
74;China;Asia/Shanghai;Nanniu;5 Kedzie Terrace;72566;Hauck-Olson
75;Portugal;Europe/Lisbon;Azinhal;6 American Ash Pass;94489;Schroeder-Goodwin
76;Netherlands;Europe/Amsterdam;Nijmegen;71321 Kedzie Court;58624;Orn-Johnson
77;China;Asia/Shanghai;Zhendong;99 Roth Way;68838;Gislason LLC
78;Brazil;America/Sao_Paulo;Formosa;95 Nevada Park;1113;Ortiz-Lubowitz
79;Faroe Islands;Atlantic/Faroe;Eystur;0108 Hansons Court;82454;Jacobson-Hand
80;Peru;America/Lima;Soritor;42530 Scofield Road;34329;Little, Carter and Mertz
81;United States;America/Chicago;Springfield;6 Hoard Parkway;99508;Prosacco-Collier
82;Portugal;Europe/Lisbon;Alcaria;58 Gerald Parkway;193;VonRueden LLC
83;Sweden;Europe/Stockholm;Borås;0 Prairie Rose Plaza;70903;Murazik Group
84;Uruguay;America/Montevideo;Nueva Helvecia;1787 Coleman Drive;18489;Hyatt-Kautzer
85;Papua New Guinea;Pacific/Port_Moresby;Wau;4865 Gale Park;76357;Smitham Inc
86;Bosnia and Herzegovina;Europe/Sarajevo;Kladanj;48 Delaware Terrace;92648;Herzog, Volkman and West
87;Indonesia;Asia/Jakarta;Ciherang;043 Kensington Terrace;74448;Gaylord, Dicki and Rempel
88;Iceland;Atlantic/Reykjavik;Borgarnes;54915 Mifflin Lane;3486;Fahey, Smitham and Cruickshank
89;Philippines;Asia/Manila;Guihing Proper;9 Armistice Avenue;49352;Bauch-Schmidt
90;Tunisia;Africa/Tunis;El Ksour;2 Wayridge Junction;57682;Yost Inc
91;China;Asia/Shanghai;Zhongxi;068 Sycamore Junction;70455;Wuckert-Auer
92;China;Asia/Chongqing;Tanghu;5 Ronald Regan Pass;86737;Koepp, Spinka and Bruen
93;Indonesia;Asia/Makassar;Longka;81825 Red Cloud Hill;78572;Towne, Prosacco and Kuhn
94;China;Asia/Shanghai;Huhe;230 Loftsgordon Plaza;80068;Gutmann Group
95;Ethiopia;Africa/Addis_Ababa;Fichē;2058 Northport Parkway;95193;Kuphal, Emmerich and Yost
96;China;Asia/Chongqing;Chang’an;1492 Luster Road;77806;O'Reilly, Baumbach and Ratke
97;Brazil;America/Sao_Paulo;Prata;178 Lakewood Gardens Hill;23392;Wilkinson and Sons
