LocationID;Country;Region;City;Adress;PostNumber;DeliveryService
1;Indonesia;;Gatak;9 Kenwood Park;93571;Waters Group
2;France;Île-de-France;Paris 16;08398 Buell Alley;10063;Emmerich, Sporer and Leannon
3;Yemen;;Yufrus;8215 Macpherson Alley;78865;Braun-Koepp
4;Armenia;;Aygezard;779 Canary Park;99426;Pagac-Greenfelder
5;Philippines;;Panognawan;91 Bellgrove Way;11901;Zboncak, MacGyver and Hermann
6;China;;Hougang;7856 Prentice Road;55305;West, Christiansen and Abshire
7;Egypt;;Awsīm;798 Almo Circle;63038;Funk, Hackett and Champlin
8;Brazil;;Além Paraíba;2492 Clarendon Point;10918;Erdman LLC
9;China;;Shancheng;832 Vahlen Center;44340;Bernhard-Johnston
10;Philippines;;Malibago;57 Morning Court;76167;Christiansen-Gleason
11;France;Île-de-France;Courtaboeuf;77 Atwood Court;30708;Cummerata, Schmitt and Schmitt
12;Bosnia and Herzegovina;;Gornje Moštre;6 Lillian Crossing;11639;Balistreri, Nolan and Wisozk
13;China;;Beichengqu;93 3rd Road;37086;Roob Inc
14;China;;Zhongping;38907 Arkansas Place;61929;Morissette-Schultz
15;France;Île-de-France;Paris 18;41 Nelson Pass;1033;Krajcik, Parisian and Abbott
16;China;;Daxing;8 Derek Place;65164;Heidenreich, Quigley and Smith
17;Central African Republic;;Rafaï;9 International Junction;81415;Frami-Mills
18;Indonesia;;Bentar Girang;47 Mesta Way;83956;Rolfson-Jerde
19;Russia;;Logovskoye;541 Lien Terrace;86988;Hirthe-MacGyver
20;China;;Chenfang;31891 Straubel Street;21187;Kihn-Mosciski
21;Kenya;;Londiani;4833 Brown Crossing;32641;Walsh LLC
22;China;;Taiba;0017 Victoria Park;21512;Okuneva and Sons
23;Tunisia;;Al Wardānīn;34 Cordelia Junction;16222;Braun, Breitenberg and Cole
24;France;Île-de-France;Paris 15;157 Northridge Way;65905;Bashirian-Reilly
25;Russia;;Budënnovsk;937 Knutson Crossing;40709;Beier, Schneider and Wisoky
26;Philippines;;Nangka;0 Manufacturers Hill;30996;Mitchell and Sons
27;Syria;;Aş Şanamayn;4084 Lakeland Hill;21438;Gerhold, Harvey and Kutch
28;China;;Ruchihe;770 Heffernan Street;78724;Veum-Weissnat
29;Latvia;;Pāvilosta;624 Sunfield Hill;72076;D'Amore-Schoen
30;Philippines;;Sampagar;7 Hudson Hill;6189;Mosciski, Labadie and Howell
31;Russia;;Solnechnyy;52242 Mandrake Park;83830;Zboncak and Sons
32;Japan;;Sukagawa;094 Truax Point;6335;Schamberger, Turcotte and Bins
33;Finland;;Siikainen;15057 Sachtjen Lane;60644;O'Keefe-Schiller
34;Thailand;;Phutthaisong;46 Lunder Drive;40840;Hand, Skiles and Huel
35;Indonesia;;Cimanglid;3872 Killdeer Place;82856;Collier-Schulist
36;Indonesia;;Kawengan;49315 Red Cloud Trail;54372;Bauch Group
37;Indonesia;;Sukaraharja;47 Cordelia Center;84087;Wisoky, Champlin and Wyman
38;Central African Republic;;Bria;76 Independence Street;91731;Sauer-Ledner
39;Philippines;;Montilla;0 Burrows Road;30300;Schuster-Veum
40;Peru;;Huamali;918 Summerview Way;6083;Pollich-Bartell
41;Philippines;;Talisay;730 Towne Hill;2607;Flatley Inc
42;Brazil;;Viçosa;260 Thierer Circle;91014;Kuhn-Howe
43;China;;Nancheng;205 Bultman Plaza;2140;Murazik Inc
44;Finland;;Savonranta;1 Pawling Street;91486;Wisoky, Little and Krajcik
45;Syria;;‘Awaj;52749 Memorial Junction;34166;Marks-Spencer
46;Poland;;Opinogóra Górna;2 Cambridge Circle;86429;Ondricka LLC
47;Mexico;Tamaulipas;Loma Alta;3 Moulton Avenue;19302;O'Hara, Cassin and Borer
48;Portugal;Leiria;Figueiras;281 Glacier Hill Trail;69881;Turcotte Inc
49;Brazil;;Piracanjuba;9 Rieder Road;49817;Haag, Quitzon and Senger
50;Philippines;;Balingoan;86 Merrick Drive;51579;Lowe LLC
51;France;Lorraine;Metz;71565 Grover Trail;33560;Grant, Runte and Funk
52;Philippines;;Bolinao;5855 Hermina Junction;80883;Reilly, Murazik and Okuneva
53;Poland;;Babice;699 Fuller Pass;49150;Rice Group
54;Latvia;;Ikšķile;8 Everett Alley;34339;Renner and Sons
