LocationID;Country;Region;City;Adress;PostalNumber;DeliveryService
1;Poland;Europe/Warsaw;Przasnysz;90 Cascade Park;75450;Langworth-Muller
2;Philippines;Asia/Manila;Del Monte;6 Clarendon Hill;31777;Ullrich-Senger
3;Philippines;Asia/Manila;San Eduardo;814 Birchwood Center;1423;Stamm, Hane and Will
4;France;Europe/Paris;La Garde;1274 Lindbergh Place;42665;Treutel, Vandervort and Leuschke
5;Brazil;America/Sao_Paulo;Salinas;9131 Hermina Plaza;99200;Schulist, Volkman and Tromp
6;Madagascar;Indian/Antananarivo;Fandriana;0075 Summit Crossing;86358;Blanda-Shields
7;Thailand;Asia/Bangkok;Phu Luang;33 Cody Road;95022;Goldner, Hoppe and Waelchi
8;Brazil;America/Sao_Paulo;Ubá;72 Ramsey Lane;30030;Haley-Stark
9;Nigeria;Africa/Lagos;Malummaduri;60703 Truax Drive;26499;Hodkiewicz-Marks
10;Brazil;America/Campo_Grande;Maracaju;7615 Emmet Court;91171;Klein, Reichel and Veum
11;Philippines;Asia/Manila;Manabo;403 Judy Hill;91153;Rosenbaum-Hessel
12;Bosnia and Herzegovina;Europe/Sarajevo;Hotonj;4818 Old Shore Street;42978;Toy, Roberts and Grady
13;Philippines;Asia/Manila;Balibagan Oeste;5 Quincy Drive;27565;Swaniawski, Muller and Keeling
14;China;Asia/Chongqing;Gaoshibei;87 Fairview Center;97467;Weber, Huels and Nicolas
15;Indonesia;Asia/Makassar;Wewit;7 Sutteridge Court;15033;Hettinger, Haley and Rowe
16;France;Europe/Paris;Chantilly;55555 Merry Circle;652;Gutmann-Rosenbaum
17;Indonesia;Asia/Jakarta;Sukaharja;6 Amoth Court;53812;Nicolas and Sons
18;Brazil;America/Sao_Paulo;Diamantina;34 Arizona Center;26169;Konopelski LLC
19;Peru;America/Lima;Estique;15206 Farwell Plaza;95768;Klocko-Gutmann
20;Mexico;America/Mexico_City;San Antonio;95648 Bay Lane;87012;Casper, Grady and Hilpert
