LocationID;Country;Region;City;Adress;PostalNumber;DeliveryService
1;United States;America/Kentucky/Louisville;Jeffersonville;13 Independence Center;98339;Mayert Inc
2;Portugal;Europe/Lisbon;Sobral;82605 Kenwood Plaza;33278;Homenick, Auer and Ryan
3;Sweden;Europe/Stockholm;Huskvarna;6369 Dovetail Hill;79653;Bogisich-Rodriguez
4;Portugal;Europe/Lisbon;Cancela;69512 Pleasure Pass;88647;Zboncak-Nikolaus
5;Colombia;America/Bogota;Chitagá;499 Bay Place;42983;Bins-Kunze
6;Spain;Europe/Madrid;Malaga;0469 Lindbergh Point;18485;Waelchi-Schmeler
7;Mexico;America/Mexico_City;Luis Donaldo Colosio;32022 Vera Parkway;14796;Schumm, Rippin and Fritsch
8;Lithuania;Europe/Vilnius;Venta;678 Merry Pass;79968;Hodkiewicz Inc
9;Greece;Europe/Athens;Kýthnos;52 Twin Pines Road;20651;Lynch, Daugherty and Schultz
10;Tanzania;Africa/Dar_es_Salaam;Makungu;159 Harper Hill;56222;Fritsch-Streich
11;Russia;Europe/Moscow;Lakhdenpokh’ya;8 Farwell Place;72983;Green, Mills and Cummerata
12;Jordan;Asia/Amman;Kafr Sawm;17 Boyd Parkway;35845;Mayert-Runte
13;Guatemala;America/Guatemala;San Pedro Jocopilas;0348 New Castle Place;66585;Farrell Inc
14;Belarus;Europe/Minsk;Urechcha;21093 Garrison Street;13989;Cole-Kutch
15;China;Asia/Chongqing;Guangli;790 Alpine Point;82690;Fritsch-Mitchell
16;China;Asia/Shanghai;Qiaotou;555 Dwight Court;5243;Beer, Morar and Blick
17;Guatemala;America/Mexico_City;Ciudad Tecún Umán;05739 Thierer Hill;13870;Lowe-Smitham
18;Western Sahara;Africa/El_Aaiun;Laâyoune / El Aaiún;919 Anthes Point;52204;Lang-McDermott
19;Croatia;Europe/Zagreb;Sarvaš;42198 Annamark Point;42667;Schiller LLC
20;Bangladesh;Asia/Dhaka;Nowlamary;18151 Ridgeview Place;21272;Fadel, Tillman and Jast
21;Poland;Europe/Warsaw;Koszyce Wielkie;8965 Leroy Way;22671;Schoen, McGlynn and Ebert
22;Greece;Europe/Athens;Pentéli;071 Maple Parkway;54922;Thompson-Rohan
23;Jordan;Asia/Amman;Judita;9037 Morningstar Point;18003;Kautzer-Berge
24;China;Asia/Shanghai;Rizhao;16676 Cascade Center;56042;Corwin-Kshlerin
25;United States;America/Chicago;Tulsa;08271 Melvin Parkway;25227;Altenwerth-Gleichner
26;Russia;Europe/Moscow;Divnomorskoye;9 Londonderry Place;84736;Moore-Batz
27;China;Asia/Chongqing;Wangchang;4 American Ash Plaza;93180;Goldner-Muller
28;Poland;Europe/Warsaw;Kraczkowa;81803 Warbler Street;47377;Swaniawski-Feest
29;Afghanistan;Asia/Kabul;Qarāwul;4705 Claremont Crossing;84663;Feeney-Carter
30;Kazakhstan;Asia/Almaty;Zharkent;93 La Follette Lane;22412;Williamson, Baumbach and Kirlin
31;Azerbaijan;Asia/Baku;Goranboy;40867 Harbort Drive;85457;Anderson, Koepp and Gutkowski
32;China;Asia/Shanghai;Maofan;4 Eliot Way;82034;Purdy LLC
33;Sweden;Europe/Stockholm;Göteborg;78384 Scoville Road;55177;Ratke and Sons
34;Russia;Europe/Moscow;Staraya Derevnya;10 Clyde Gallagher Pass;58824;Williamson, Green and Beatty
35;China;Asia/Chongqing;Caqu;16 Kedzie Road;4112;Yundt, Heathcote and Kling
