LocationID;Country;Region;City;Adress;PostalNumber;DeliveryService
1;China;Asia/Harbin;Yuanshanzi;2810 Bashford Point;57669;Prosacco and Sons
2;Portugal;Europe/Lisbon;Quintãs;7612 Sherman Lane;27238;Beier, Casper and McDermott
3;Sweden;Europe/Stockholm;Tierp;9434 Badeau Plaza;86405;Stiedemann, Quitzon and Cartwright
4;Kenya;Africa/Nairobi;Muhoroni;4 Mosinee Point;63330;Veum, Parisian and Bergstrom
5;France;Europe/Paris;Saint-Étienne;701 Weeping Birch Way;74848;Hermiston, Connelly and Heaney
6;Kazakhstan;Asia/Qyzylorda;Ayteke Bi;1750 Melrose Trail;87865;Strosin, Russel and Luettgen
7;Norway;Europe/Oslo;Tromsø;7653 Lyons Way;10545;Schultz and Sons
8;Argentina;America/Argentina/Salta;El Quebrachal;053 Bunting Center;65579;Hills-Robel
9;Indonesia;Asia/Makassar;Bonik;397 Rutledge Parkway;17364;Predovic, Wilderman and Ledner
10;Philippines;Asia/Manila;Silab;37827 Menomonie Way;20241;O'Connell Inc
11;Croatia;Europe/Zagreb;Kraljevica;74281 Ridgeview Drive;39141;Carter, Douglas and Grimes
12;Tajikistan;Asia/Dushanbe;Abdurahmoni Jomí;86504 Milwaukee Park;29116;Jakubowski-Funk
13;Portugal;Europe/Lisbon;Pontinha;841 Esch Center;95862;Quitzon LLC
14;Brazil;America/Sao_Paulo;Almirante Tamandaré;4 Dovetail Circle;85738;Berge Inc
15;Philippines;Asia/Manila;Kagay;52 Thackeray Avenue;30762;Abshire-Bednar
16;Russia;Asia/Krasnoyarsk;Motygino;890 Havey Junction;79740;Hintz, Hills and Morar
17;China;Asia/Chongqing;Tanghua;64745 Esker Alley;90756;Koelpin-Ziemann
18;Thailand;Asia/Bangkok;Sap Yai;897 Debra Parkway;24840;Ruecker Group
19;China;Asia/Chongqing;Zaoshi;68 Iowa Avenue;65945;Wehner, Beahan and Batz
20;Brazil;America/Sao_Paulo;Araçoiaba da Serra;7364 Shasta Way;67061;Gleason-Greenfelder
21;Angola;Africa/Luanda;Luanda;3 Washington Way;76588;Bayer-Renner
22;China;Asia/Shanghai;Gongxi;363 Orin Junction;59055;Kertzmann-Pfeffer
23;Philippines;Asia/Manila;Odiongan;1 Summit Terrace;83552;Wisozk-O'Reilly
24;France;Europe/Paris;Tourcoing;9857 Portage Court;64795;Mann Group
25;Panama;America/Panama;Santa Marta;955 Kedzie Circle;39917;Bruen, Carter and Dickinson
26;France;Europe/Paris;Paris 07;09681 Eliot Trail;26648;Schmeler-Spinka
27;Zambia;Africa/Lusaka;Mkushi;26752 Almo Parkway;9751;Dach, Swift and Lesch
28;Russia;Europe/Moscow;Mozdok;2 Independence Terrace;71091;Walsh, Doyle and Borer
29;Laos;Asia/Vientiane;Bolikhan;93 Weeping Birch Lane;4812;Bartell, Bergnaum and Kirlin
30;China;Asia/Shanghai;Tanxi;071 International Drive;35502;Bashirian, Hills and Wunsch
31;Brazil;America/Fortaleza;Paracuru;6 Logan Plaza;67738;Reynolds, Abernathy and Jacobi
32;Lithuania;Europe/Vilnius;Skaudvilė;303 Cascade Court;50640;Gutmann-Ebert
33;Indonesia;Asia/Makassar;Awayan;6 Mayer Crossing;26528;Pollich-Hermiston
34;China;Asia/Chongqing;Gaoping;682 Division Street;51759;Goodwin-Jakubowski
35;Indonesia;Asia/Jakarta;Adil Makmur;9320 Drewry Road;55413;Watsica-Dickinson
36;Pakistan;Asia/Karachi;Mīrpur Māthelo;22 Summit Drive;55181;Lubowitz, Rutherford and Bergnaum
37;Brazil;America/Sao_Paulo;Porangatu;6964 Prentice Trail;6257;Goyette, Denesik and Dickinson
