LocationID,Country,Region,City,Adress,PostNumber,DeliveryService
1,PH,Asia/Manila,Minanga Norte,1277 Cascade Lane,9777,Reinger-Lind
2,TM,Asia/Ashgabat,Yylanly,34 Anniversary Terrace,2667,Spinka Inc
3,RU,Europe/Moscow,Nuradilovo,15527 La Follette Pass,75360,Schneider-West
4,TH,Asia/Bangkok,Samut Prakan,99 Kensington Pass,88107,Heathcote Inc
5,RU,Europe/Volgograd,Dubovka,752 Hooker Circle,89261,Bartoletti-Bednar
6,FI,Europe/Helsinki,Outokumpu,4 Mendota Place,45237,Lebsack-Rowe
7,PF,Pacific/Tahiti,Tohautu,4 Division Hill,82503,Roberts and Sons
8,CZ,Europe/Prague,Červenka,3825 Tennessee Terrace,68223,"Swaniawski, Roob and Schaefer"
9,FR,Europe/Paris,Niort,23445 Hansons Point,48046,Leuschke-Krajcik
10,TN,Africa/Tunis,Korba,0 Golf Hill,8340,Kiehn-Bashirian
11,CN,Asia/Urumqi,Mazongshan,43308 Morningstar Court,56275,"Medhurst, Klein and Cremin"
12,CN,Asia/Shanghai,Yantai,17274 Northport Center,75084,"Cronin, Hane and Rohan"
13,UA,Europe/Kiev,Zvenyhorodka,35 Butterfield Court,47200,"Weber, Lemke and Gleason"
14,AR,America/Argentina/Cordoba,Dalmacio Vélez Sársfield,203 Bowman Lane,50913,Hamill-Marvin
15,FI,Europe/Helsinki,Kangasala,4 Columbus Avenue,12838,"Blanda, Witting and Baumbach"
16,PH,Asia/Manila,Ipil,37375 Old Gate Road,85053,Schiller Inc
17,AR,America/Argentina/Buenos_Aires,General Arenales,238 Golf View Center,21026,Dooley and Sons
18,CN,Asia/Chongqing,Laibin,0 Northridge Junction,73310,"Osinski, Moore and Hodkiewicz"
19,BR,America/Sao_Paulo,Pelotas,9563 Anthes Park,71792,"Skiles, Rohan and Kling"
20,CN,Asia/Shanghai,Qiulu,8 Marquette Plaza,8719,Hessel LLC
21,CN,Asia/Harbin,Nanzamu,0409 Harbort Crossing,95250,Schimmel-Batz
22,PH,Asia/Manila,San Juan,9 Scoville Plaza,99872,Keebler and Sons
23,AR,America/Argentina/Buenos_Aires,Capitán Sarmiento,28 Summit Road,86180,Schamberger LLC
24,RU,Asia/Irkutsk,Budagovo,176 Prairie Rose Terrace,74440,Ferry-Kling
25,CN,Asia/Urumqi,Jiayuguan,0735 Derek Road,37916,Orn Inc
26,CO,America/Bogota,Pradera,3 Chinook Pass,58949,Turner-Haag
27,TD,Africa/Ndjamena,Bongor,57484 6th Place,18086,Lakin-Muller
28,CN,Asia/Chongqing,Guanyang,3457 Oriole Point,89100,Orn LLC
29,CN,Asia/Chongqing,Xiangzhou,92 Mifflin Way,17291,"Feil, Douglas and Schuster"
