LocationID;Country;Region;City;Adress;PostalNumber;DeliveryService
1;China;Asia/Harbin;Suileng;16 Memorial Street;61197;Corkery Inc
2;Kuwait;Asia/Kuwait;Ar Rumaythīyah;26772 Dennis Crossing;75119;Steuber Inc
3;Peru;America/Lima;Andahuaylas;1 Commercial Drive;56950;Torp-Predovic
4;Portugal;Europe/Lisbon;Montinho;93156 Memorial Alley;33587;Johnson-Douglas
5;Greece;Europe/Athens;Elaiochóri;8 Mesta Plaza;71422;Glover Group
6;Indonesia;Asia/Makassar;Taen Tengah;4 Del Sol Point;73474;Stoltenberg, Price and Leffler
7;Sweden;Europe/Stockholm;Karlstad;4 American Ash Place;81590;Klein, Kuhn and Kassulke
8;Indonesia;Asia/Jakarta;Karangpeton;24953 Petterle Drive;14687;Wolff, Price and Gleason
9;China;Asia/Chongqing;Baisha;100 Spenser Drive;58089;Swaniawski Inc
10;France;Europe/Paris;Saint-Maurice-l'Exil;450 Burrows Junction;32155;Zboncak, Kirlin and Welch
11;Bulgaria;Europe/Sofia;Chirpan;7026 Cordelia Hill;55894;Kuhn and Sons
12;Vietnam;Asia/Ho_Chi_Minh;Thị Trấn Yên Thịnh;7 Wayridge Way;41478;Davis-Kris
13;Ukraine;Europe/Kiev;Brusyliv;714 Old Gate Court;8499;Wolf, Braun and Bernhard
14;Indonesia;Asia/Makassar;Jeleuk;2 Village Green Pass;88604;Marvin, Heathcote and Wintheiser
15;China;Asia/Chongqing;Muliang;890 Shasta Terrace;68642;Lockman, Mayert and Hagenes
16;China;Asia/Shanghai;Zhukeng;65828 Montana Park;53702;Crona-Bahringer
17;Netherlands;Europe/Amsterdam;Nijmegen;34 Hauk Parkway;77094;Conroy Group
18;China;Asia/Harbin;Amu Gulang Baolige;3060 Loeprich Road;3194;Dietrich-Mosciski
19;Croatia;Europe/Ljubljana;Krapina;62 3rd Center;17185;Thiel and Sons
20;Brazil;America/Sao_Paulo;Lorena;31550 Shelley Junction;36033;Lakin-Glover
21;Belarus;Europe/Minsk;Dashkawka;009 Blue Bill Park Circle;51070;Turner, Ritchie and Goldner
22;Sweden;Europe/Stockholm;Täby;51685 Harper Plaza;53712;Yost LLC
23;Albania;Europe/Tirane;Bulqizë;261 Morning Circle;98127;Hahn Inc
24;Indonesia;Asia/Makassar;Kojagete;4864 Carey Parkway;88793;Bednar Inc
25;Uzbekistan;Asia/Samarkand;Qo’ng’irot Shahri;23619 Washington Way;23097;Hudson-Thiel
26;Brazil;America/Sao_Paulo;Pirapora do Bom Jesus;27 Montana Court;11135;Brekke-Connelly
27;Gambia;Africa/Dakar;No Kunda;2302 Esch Plaza;80614;Lind LLC
28;China;Asia/Shanghai;Hengjie;312 Hoffman Plaza;20901;Ebert Group
29;Guatemala;America/Guatemala;Comitancillo;545 Walton Alley;95642;Herman LLC
30;Denmark;Europe/Copenhagen;Frederiksberg;30343 Fairfield Lane;29170;Luettgen, Durgan and Friesen
31;Haiti;America/Port-au-Prince;Port-de-Paix;2 Oakridge Place;13852;Carroll-Gerhold
32;China;Asia/Shanghai;Dongxiang;247 Farmco Place;66822;Blanda-Carter
33;Brazil;America/Sao_Paulo;Patos de Minas;27 Northview Alley;31999;Schmitt, Harber and Medhurst
34;Portugal;Europe/Lisbon;Alpedrinha;3 Mayer Pass;27458;Purdy, Boehm and Cormier
35;Indonesia;Asia/Jakarta;Purut;4118 Carioca Park;27732;Gusikowski-Kihn
36;Sweden;Europe/Stockholm;Kumla;44276 Buhler Lane;71234;Kozey-Mayer
37;Pakistan;Asia/Karachi;Shorko;3731 Hansons Alley;79532;Weber Inc
38;China;Asia/Chongqing;Pengjia Zhaizi;7 Scott Point;40801;Bashirian-Grady
39;Czech Republic;Europe/Warsaw;Javorník;455 Straubel Parkway;269;Zulauf-Walker
40;Philippines;Asia/Manila;Tungawan;1 Bunting Circle;78152;D'Amore, Jaskolski and Gutkowski
41;Indonesia;Asia/Makassar;Polen;7425 Pepper Wood Parkway;28066;Bauch, Blick and Rodriguez
