LocationID;Country;Region;City;Adress;PostalNumber;DeliveryService
1;Russia;Europe/Moscow;Kotovsk;1 Bunting Place;50455;Lehner Group
2;Myanmar;Asia/Rangoon;Nyaunglebin;55160 Colorado Lane;58798;Jast-Toy
3;Brazil;America/Recife;Custódia;0 Veith Alley;9929;Hyatt-Howe
4;China;Asia/Chongqing;Renhe;1209 Basil Trail;20395;Ward LLC
5;Ukraine;Europe/Zaporozhye;Svyatogorsk;294 Buell Avenue;41612;Langosh and Sons
6;China;Asia/Chongqing;Qianpai;0386 Hazelcrest Junction;40429;Gibson-Crona
7;Philippines;Asia/Kuching;Taganak;8 Stuart Parkway;62905;Terry LLC
8;South Africa;Africa/Johannesburg;Kruisfontein;751 Veith Street;52849;McClure-Yost
9;France;Europe/Paris;Nîmes;34 Sugar Point;80152;Morissette, VonRueden and Deckow
10;Indonesia;Asia/Jakarta;Paloh;12 Hintze Pass;23252;Raynor and Sons
11;Japan;Asia/Tokyo;Okayama-shi;42062 Truax Point;40977;Frami-Willms
12;Germany;Europe/Berlin;Hamburg Harvestehude;4 Heffernan Court;93939;Satterfield Group
13;Syria;Asia/Damascus;Junaynat Raslān;64 Tomscot Pass;23483;Streich-Champlin
14;China;Asia/Harbin;Fulu;5 Schiller Drive;28342;Upton-Maggio
15;China;Asia/Chongqing;Tushi;41629 Jay Circle;93366;Rippin LLC
16;Comoros;Indian/Comoro;Ntsoudjini;6 Stoughton Way;1996;Zboncak Group
17;Mauritania;Africa/Nouakchott;Nouâdhibou;7287 Forest Run Park;98429;Rutherford-Kunde
18;China;Asia/Chongqing;Linshi;6 Lillian Circle;48582;Nader-Sawayn
19;Russia;Europe/Moscow;Polyarnyye Zori;73 Moose Junction;79297;Stamm LLC
20;Brazil;America/Sao_Paulo;Ibaiti;79 Susan Parkway;56222;Abernathy and Sons
21;Russia;Europe/Moscow;Navashino;1 Hazelcrest Point;29926;Adams LLC
22;China;Asia/Chongqing;Daqiao;3179 Randy Pass;18831;Collins-Koch
23;Nigeria;Africa/Lagos;Orlu;951 Fulton Street;90684;Rogahn, Greenholt and Ryan
24;Panama;America/Panama;Paraíso;03044 Mcguire Parkway;35205;Smith Group
25;Russia;Europe/Moscow;Shar’ya;6396 Summit Crossing;74168;Batz, Hauck and Russel
26;Czech Republic;Europe/Prague;Velké Němčice;5793 Southridge Way;20168;O'Connell Group
27;Indonesia;Asia/Makassar;Riung;40 Arkansas Street;73179;Jacobs-Mann
28;France;Europe/Paris;Amiens;90542 Weeping Birch Alley;21421;Bode, Kuvalis and Spencer
29;Portugal;Europe/Lisbon;Quinta da Torre;28 Browning Plaza;49479;Aufderhar, Stamm and Huels
30;Philippines;Asia/Manila;Sinuknipan;7069 Del Mar Point;52887;Jenkins-Gleason
31;China;Asia/Shanghai;Baiheshan;1 Eastlawn Park;62653;Conn-Watsica
32;China;Asia/Shanghai;Zangzhai;2177 Buell Alley;72267;Feeney-Denesik
33;Thailand;Asia/Bangkok;Bang Mun Nak;678 Packers Hill;2251;Schneider, O'Conner and Pacocha
34;Russia;Europe/Moscow;Kupchino;03834 Sauthoff Alley;99131;Tremblay, Conroy and Corkery
35;Indonesia;Asia/Makassar;Banjar Parekan;70 Rieder Place;76214;Rosenbaum-Schumm
36;China;Asia/Chongqing;Dongke;69 Russell Hill;75088;Dach LLC
37;Uganda;Africa/Kampala;Bududa;012 Dottie Circle;1662;Turner, Jast and Anderson
38;Russia;Europe/Moscow;Zhiryatino;708 Summit Junction;69905;Kertzmann, McCullough and Kulas
39;China;Asia/Shanghai;Geyuan;87326 Meadow Ridge Circle;92215;Rau and Sons
40;Mexico;America/Mexico_City;Cuauhtemoc;9 Logan Plaza;47828;Hansen-Beatty
41;Liberia;Africa/Monrovia;Gbarnga;532 Elmside Hill;24273;Hirthe and Sons
42;Philippines;Asia/Manila;Baunu-Timbangan;53 Granby Lane;756;Brown Group
43;Indonesia;Asia/Jakarta;Narukan;342 Paget Lane;69109;Torp-Greenholt
44;Philippines;Asia/Manila;Tudela;042 Northwestern Circle;21714;Pouros Inc
45;Cambodia;Asia/Phnom_Penh;Lumphăt;815 Utah Junction;58588;O'Kon-Russel
46;China;Asia/Chongqing;Jiangchi;75822 Hoepker Crossing;18841;Romaguera Inc
47;China;Asia/Shanghai;Kangle;9267 Granby Drive;25973;Walsh LLC
48;France;Europe/Paris;Le Mans;3221 Evergreen Court;45625;Beer Inc
49;China;Asia/Chongqing;Huaguo;3 Mitchell Crossing;57319;Jacobs-Rutherford
