ProductID,ProductName,CategoryName,SubcategoryName,BrandName,Thicknes,Weight,ProductDescription,DefaultGaranty,DefaultGarantyName,Price
1,Lenovo IdeaPad S34014IWL,Used,For Cut Design,Lenovo,1.35,1234,Some description about laptop Lenovo IdeaPad S34014IWL,6,Default Garanty Used laptops,1558.61
2,HP Pavilion Gaming 15cx0027ua,Used,For Simple Tasks,HP,2.5,2312,Some description about laptop HP Pavilion Gaming 15cx0027ua,12,Default Garanty HP,1368.16
3,Lenovo IdeaPad 33015AST,New,Thin,Lenovo,2.34,2536,Some description about laptop Lenovo IdeaPad 33015AST,6,Default Garanty Used laptops,1100.81
4,MSI GF63 9RCX,New,For Simple Tasks,MSI,1.35,1245,Some description about laptop MSI GF63 9RCX,12,Default Garanty MSI,1012.06
5,Lenovo IdeaPad 33015AST,Used,For Cut Design,Lenovo,2.34,2312,Some description about laptop Lenovo IdeaPad 33015AST,1,Default Garanty Used laptops,642.40
6,Macbook Pro 15 Retina,Used,Thin,Apple,2.34,2312,Some description about laptop Macbook Pro 15 Retina,12,Default Garanty Apple,580.93
7,Apple MacBook Pro,New,Thin,Apple,1.35,2536,Some description about laptop Apple MacBook Pro,6,Default Garanty Apple,1353.14
8,Acer Aspire 5 A51554G,New,Thin,Acer,2.34,2356,Some description about laptop Acer Aspire 5 A51554G,12,Default Garanty Used laptops,1359.31
9,Lenovo IdeaPad S34014IWL,Used,For Business,Lenovo,1.24,2356,Some description about laptop Lenovo IdeaPad S34014IWL,1,Default Garanty Used laptops,1705.12
10,Macbook Pro 15 Retina,New,For Business,Apple,2.34,1790,Some description about laptop Macbook Pro 15 Retina,1,Default Garanty Apple,1371.95
11,Apple MacBook Air 13,New,For Work and Study,Apple,2.5,2356,Some description about laptop Apple MacBook Air 13,12,Default Garanty Used laptops,866.75
12,Macbook Pro 15 Retina,Used,For Business,Apple,1.24,1245,Some description about laptop Macbook Pro 15 Retina,1,Default Garanty Apple,1329.72
13,Asus ROG STRIX 5,New,For Work and Study,Asus,2.5,2539,Some description about laptop Asus ROG STRIX 5,1,Default Garanty Asus,1524.56
14,Acer Aspire 5 A51554G,New,Thin,Acer,1.5,1790,Some description about laptop Acer Aspire 5 A51554G,1,Default Garanty Used laptops,1548.72
15,MSI GF63 9RCX,New,For Work and Study,MSI,2.78,1234,Some description about laptop MSI GF63 9RCX,12,Default Garanty MSI,1826.72
16,Acer Aspire 5 A51554G,Used,Gaming,Acer,1.5,1790,Some description about laptop Acer Aspire 5 A51554G,1,Default Garanty Used laptops,1323.41
17,HP 255 G7,Used,For Business,HP,2.78,1245,Some description about laptop HP 255 G7,1,Default Garanty Used laptops,1287.78
18,Apple MacBook Air 13,New,For Cut Design,Apple,1.35,2356,Some description about laptop Apple MacBook Air 13,12,Default Garanty Used laptops,1011.95
19,MSI GF63 9RCX,New,Gaming,MSI,2.5,2356,Some description about laptop MSI GF63 9RCX,6,Default Garanty MSI,715.66
20,Lenovo IdeaPad 33015AST,New,For Business,Lenovo,1.24,1245,Some description about laptop Lenovo IdeaPad 33015AST,6,Default Garanty Used laptops,1215.78
21,Apple MacBook Pro,New,For Simple Tasks,Apple,2.5,1305,Some description about laptop Apple MacBook Pro,6,Default Garanty Apple,1988.74
22,MSI GL65 9SD206XRO,Used,For Work and Study,MSI,1.5,1305,Some description about laptop MSI GL65 9SD206XRO,6,Default Garanty Used laptops,552.89
23,Google Pixelbook Go 256GB,New,For Cut Design,Google,1.5,2312,Some description about laptop Google Pixelbook Go 256GB,12,Default Garanty Google,585.84
24,HP Pavilion Gaming 15cx0027ua,New,For Cut Design,HP,2.56,2312,Some description about laptop HP Pavilion Gaming 15cx0027ua,6,Default Garanty HP,1868.76
25,HP Pavilion Gaming 15cx0027ua,New,Thin,HP,1.5,1790,Some description about laptop HP Pavilion Gaming 15cx0027ua,6,Default Garanty HP,1614.79
26,Lenovo IdeaPad S34014IWL,New,For Work and Study,Lenovo,1.35,1790,Some description about laptop Lenovo IdeaPad S34014IWL,12,Default Garanty Used laptops,1217.16
27,Google Pixelbook Go 256GB,New,For Business,Google,2.34,1234,Some description about laptop Google Pixelbook Go 256GB,6,Default Garanty Google,1582.96
28,Asus ROG Strix G531GT,Used,For Work and Study,Asus,2.56,1305,Some description about laptop Asus ROG Strix G531GT,12,Default Garanty Used laptops,1840.25
29,Apple MacBook Air 13,Used,Thin,Apple,1.24,2356,Some description about laptop Apple MacBook Air 13,6,Default Garanty Used laptops,905.66
30,HP Envy 17ce0005ur,Used,Thin,HP,1.5,2356,Some description about laptop HP Envy 17ce0005ur,1,Default Garanty HP,1613.91
31,Microsoft Surface Laptop 3 15,New,For Simple Tasks,Microsoft,1.24,1305,Some description about laptop Microsoft Surface Laptop 3 15,12,Default Garanty Microsoft,907.31
32,Acer Nitro 5,New,For Business,Acer,2.56,1234,Some description about laptop Acer Nitro 5,1,Default Garanty Acer,915.81
33,HP 255 G7,Used,For Business,HP,2.5,2312,Some description about laptop HP 255 G7,1,Default Garanty Used laptops,1221.74
34,Acer Aspire 5 A51554G,New,For Cut Design,Acer,2.34,2536,Some description about laptop Acer Aspire 5 A51554G,1,Default Garanty Used laptops,726.76
