ProductID,ProductName,CategoryName,SubcategoryName,BrandName,Thicknes,Weight,ProductDescription,DefaultGaranty,DefaultGarantyName,Price
1,Dell Inspiron G5 15 5587,Used,For Work and Study,Dell,2.34,2539,Some description about laptop Dell Inspiron G5 15 5587,12,Default Garanty Used laptops,917.76
2,Dream Machines RS206017,New,Gaming,Dream Machines,2.78,1234,Some description about laptop Dream Machines RS206017,1,Default Garanty Used laptops,1913.47
3,Lenovo IdeaPad 33015AST,Used,Gaming,Lenovo,2.5,2539,Some description about laptop Lenovo IdeaPad 33015AST,12,Default Garanty Used laptops,648.53
4,Lenovo IdeaPad 33015AST,New,Gaming,Lenovo,2.56,2356,Some description about laptop Lenovo IdeaPad 33015AST,12,Default Garanty Used laptops,1444.58
5,Apple MacBook Pro,New,For Business,Apple,1.5,1305,Some description about laptop Apple MacBook Pro,1,Default Garanty Apple,1947.46
6,Google Pixelbook Go 256GB,New,For Simple Tasks,Google,1.5,1245,Some description about laptop Google Pixelbook Go 256GB,12,Default Garanty Google,1158.54
7,Apple MacBook Air 13,Used,For Simple Tasks,Apple,1.24,1790,Some description about laptop Apple MacBook Air 13,1,Default Garanty Used laptops,1880.24
8,Apple MacBook Air 13,New,For Work and Study,Apple,1.35,2536,Some description about laptop Apple MacBook Air 13,12,Default Garanty Used laptops,1160.85
9,MSI GF63 9RCX,New,For Work and Study,MSI,1.35,2539,Some description about laptop MSI GF63 9RCX,12,Default Garanty MSI,1268.64
10,Macbook Pro 15 Retina,Used,Gaming,Apple,2.78,2356,Some description about laptop Macbook Pro 15 Retina,12,Default Garanty Apple,1597.80
11,MSI GF63 9RCX,New,For Business,MSI,1.5,1790,Some description about laptop MSI GF63 9RCX,6,Default Garanty MSI,711.41
12,Google Pixelbook Go 256GB,New,For Work and Study,Google,2.5,1790,Some description about laptop Google Pixelbook Go 256GB,6,Default Garanty Google,1539.61
13,Acer Nitro 5,New,For Work and Study,Acer,1.35,1305,Some description about laptop Acer Nitro 5,6,Default Garanty Acer,1994.03
14,Google Pixelbook Go 256GB,New,For Cut Design,Google,1.24,1305,Some description about laptop Google Pixelbook Go 256GB,1,Default Garanty Google,924.85
15,Dell Inspiron G5 15 5587,Used,For Simple Tasks,Dell,2.34,2539,Some description about laptop Dell Inspiron G5 15 5587,1,Default Garanty Used laptops,1552.13
16,Microsoft Surface Laptop 3 15,Used,For Business,Microsoft,2.34,1790,Some description about laptop Microsoft Surface Laptop 3 15,1,Default Garanty Microsoft,1012.96
17,Dell Inspiron G5 15 5587,Used,For Work and Study,Dell,2.56,1234,Some description about laptop Dell Inspiron G5 15 5587,12,Default Garanty Used laptops,1460.01
18,Google Pixelbook Go 256GB,New,Thin,Google,1.35,2536,Some description about laptop Google Pixelbook Go 256GB,12,Default Garanty Google,944.22
19,Acer Nitro 5,New,Gaming,Acer,1.24,1790,Some description about laptop Acer Nitro 5,12,Default Garanty Acer,1389.80
20,Acer Aspire 5 A51554G,New,Gaming,Acer,1.35,1790,Some description about laptop Acer Aspire 5 A51554G,1,Default Garanty Used laptops,1718.98
21,Dell Inspiron G5 15 5587,Used,For Work and Study,Dell,1.24,1245,Some description about laptop Dell Inspiron G5 15 5587,1,Default Garanty Used laptops,1644.71
22,HP 255 G7,Used,For Work and Study,HP,1.24,2312,Some description about laptop HP 255 G7,6,Default Garanty Used laptops,1486.16
23,Google Pixelbook Go 256GB,New,Gaming,Google,1.5,1234,Some description about laptop Google Pixelbook Go 256GB,1,Default Garanty Google,1659.60
24,MSI GF63 9RCX,New,For Simple Tasks,MSI,2.5,1245,Some description about laptop MSI GF63 9RCX,12,Default Garanty MSI,1002.34
25,MSI GF63 9RCX,New,For Cut Design,MSI,2.78,1234,Some description about laptop MSI GF63 9RCX,1,Default Garanty MSI,1495.56
26,Asus ROG STRIX 5,New,For Work and Study,Asus,1.24,2539,Some description about laptop Asus ROG STRIX 5,1,Default Garanty Asus,1660.15
27,Apple MacBook Air 13,Used,For Cut Design,Apple,2.56,1305,Some description about laptop Apple MacBook Air 13,12,Default Garanty Used laptops,633.73
28,Microsoft Surface Laptop 3 15,Used,For Simple Tasks,Microsoft,2.56,1245,Some description about laptop Microsoft Surface Laptop 3 15,12,Default Garanty Microsoft,647.94
29,Macbook Pro 15 Retina,New,For Simple Tasks,Apple,1.5,1790,Some description about laptop Macbook Pro 15 Retina,1,Default Garanty Apple,1578.86
30,Lenovo IdeaPad S34014IWL,New,For Work and Study,Lenovo,2.34,2312,Some description about laptop Lenovo IdeaPad S34014IWL,6,Default Garanty Used laptops,1252.43
31,HP Pavilion Gaming 15cx0027ua,Used,For Simple Tasks,HP,1.35,1245,Some description about laptop HP Pavilion Gaming 15cx0027ua,12,Default Garanty HP,722.15
32,Lenovo IdeaPad S34014IWL,Used,For Business,Lenovo,2.5,2539,Some description about laptop Lenovo IdeaPad S34014IWL,12,Default Garanty Used laptops,561.92
33,Acer Nitro 5,New,Gaming,Acer,2.5,1790,Some description about laptop Acer Nitro 5,12,Default Garanty Acer,503.67
34,Apple MacBook Air 13,New,Thin,Apple,1.5,2312,Some description about laptop Apple MacBook Air 13,6,Default Garanty Used laptops,978.63
35,HP 255 G7,Used,For Simple Tasks,HP,1.24,1790,Some description about laptop HP 255 G7,12,Default Garanty Used laptops,698.11
36,Lenovo IdeaPad 33015AST,New,For Cut Design,Lenovo,1.24,2356,Some description about laptop Lenovo IdeaPad 33015AST,1,Default Garanty Used laptops,1657.84
37,Asus ROG STRIX 5,New,For Business,Asus,2.78,1790,Some description about laptop Asus ROG STRIX 5,12,Default Garanty Asus,1835.22
38,Dream Machines RS206017,New,For Cut Design,Dream Machines,1.5,1245,Some description about laptop Dream Machines RS206017,6,Default Garanty Used laptops,1791.44
39,MSI GL65 9SD206XRO,Used,For Simple Tasks,MSI,2.78,1234,Some description about laptop MSI GL65 9SD206XRO,12,Default Garanty Used laptops,1025.08
40,Microsoft Surface Laptop 3 15,Used,Gaming,Microsoft,1.35,1245,Some description about laptop Microsoft Surface Laptop 3 15,12,Default Garanty Microsoft,1203.32
41,Dell Inspiron G5 15 5587,Used,For Business,Dell,2.56,1305,Some description about laptop Dell Inspiron G5 15 5587,12,Default Garanty Used laptops,535.20
42,Microsoft Surface Laptop 3 15,New,For Business,Microsoft,2.56,1790,Some description about laptop Microsoft Surface Laptop 3 15,6,Default Garanty Microsoft,779.06
43,MSI GL65 9SD206XRO,Used,Thin,MSI,2.5,2356,Some description about laptop MSI GL65 9SD206XRO,6,Default Garanty Used laptops,1475.68
44,Apple MacBook Air 13,Used,For Business,Apple,1.35,2356,Some description about laptop Apple MacBook Air 13,1,Default Garanty Used laptops,673.87
45,Google Pixelbook Go 256GB,New,Thin,Google,2.34,2312,Some description about laptop Google Pixelbook Go 256GB,1,Default Garanty Google,1554.05
46,Lenovo IdeaPad S34014IWL,Used,For Cut Design,Lenovo,2.56,1790,Some description about laptop Lenovo IdeaPad S34014IWL,6,Default Garanty Used laptops,921.27
47,Asus ROG Strix G531GT,Used,Thin,Asus,1.35,2539,Some description about laptop Asus ROG Strix G531GT,6,Default Garanty Used laptops,1686.90
48,Asus ROG Strix G531GT,Used,For Work and Study,Asus,2.78,1790,Some description about laptop Asus ROG Strix G531GT,6,Default Garanty Used laptops,1090.62
49,Google Pixelbook Go 256GB,New,For Cut Design,Google,1.5,2536,Some description about laptop Google Pixelbook Go 256GB,12,Default Garanty Google,1603.65
50,MSI GL65 9SD206XRO,Used,Thin,MSI,2.56,1305,Some description about laptop MSI GL65 9SD206XRO,1,Default Garanty Used laptops,521.93
51,Macbook Pro 15 Retina,New,For Simple Tasks,Apple,1.35,2539,Some description about laptop Macbook Pro 15 Retina,6,Default Garanty Apple,585.32
52,Apple MacBook Air 13,Used,Gaming,Apple,1.24,1234,Some description about laptop Apple MacBook Air 13,12,Default Garanty Used laptops,1889.47
53,Lenovo IdeaPad 33015AST,New,For Simple Tasks,Lenovo,2.78,2539,Some description about laptop Lenovo IdeaPad 33015AST,12,Default Garanty Used laptops,928.33
54,Lenovo IdeaPad S34014IWL,Used,For Work and Study,Lenovo,1.35,2539,Some description about laptop Lenovo IdeaPad S34014IWL,12,Default Garanty Used laptops,615.55
55,Macbook Pro 15 Retina,Used,For Cut Design,Apple,2.56,1234,Some description about laptop Macbook Pro 15 Retina,6,Default Garanty Apple,1849.32
56,HP Envy 17ce0005ur,Used,For Business,HP,1.5,1305,Some description about laptop HP Envy 17ce0005ur,1,Default Garanty HP,810.00
57,Lenovo IdeaPad 33015AST,New,For Cut Design,Lenovo,1.35,1234,Some description about laptop Lenovo IdeaPad 33015AST,1,Default Garanty Used laptops,1584.67
58,MSI GL65 9SD206XRO,New,Thin,MSI,1.5,1305,Some description about laptop MSI GL65 9SD206XRO,1,Default Garanty Used laptops,1703.95
59,Dream Machines RS206017,Used,Gaming,Dream Machines,2.78,1245,Some description about laptop Dream Machines RS206017,6,Default Garanty Used laptops,1797.78
60,HP 255 G7,Used,For Simple Tasks,HP,2.78,1245,Some description about laptop HP 255 G7,12,Default Garanty Used laptops,1936.51
61,Asus ROG Strix G531GT,Used,For Business,Asus,1.5,2536,Some description about laptop Asus ROG Strix G531GT,1,Default Garanty Used laptops,1439.74
62,Dell Inspiron G5 15 5587,Used,Thin,Dell,1.5,1245,Some description about laptop Dell Inspiron G5 15 5587,6,Default Garanty Used laptops,563.63
63,Asus ROG Strix G531GT,Used,For Business,Asus,1.5,2312,Some description about laptop Asus ROG Strix G531GT,12,Default Garanty Used laptops,868.42
64,Lenovo IdeaPad S34014IWL,Used,Gaming,Lenovo,2.34,1305,Some description about laptop Lenovo IdeaPad S34014IWL,12,Default Garanty Used laptops,959.29
65,HP Envy 17ce0005ur,Used,Gaming,HP,2.56,2312,Some description about laptop HP Envy 17ce0005ur,12,Default Garanty HP,793.71
66,Apple MacBook Air 13,New,For Cut Design,Apple,2.5,1305,Some description about laptop Apple MacBook Air 13,1,Default Garanty Used laptops,541.02
67,HP Pavilion Gaming 15cx0027ua,Used,Thin,HP,2.78,2536,Some description about laptop HP Pavilion Gaming 15cx0027ua,1,Default Garanty HP,1153.56
68,Dream Machines RS206017,New,For Work and Study,Dream Machines,1.5,2356,Some description about laptop Dream Machines RS206017,1,Default Garanty Used laptops,919.21
69,Acer Aspire 5 A51554G,Used,For Simple Tasks,Acer,2.56,1790,Some description about laptop Acer Aspire 5 A51554G,1,Default Garanty Used laptops,1820.45
70,Apple MacBook Pro,New,Gaming,Apple,2.5,2356,Some description about laptop Apple MacBook Pro,12,Default Garanty Apple,932.50
71,Dell Inspiron G5 15 5587,Used,For Work and Study,Dell,1.5,2356,Some description about laptop Dell Inspiron G5 15 5587,12,Default Garanty Used laptops,1995.37
72,HP Pavilion Gaming 15cx0027ua,New,Gaming,HP,2.34,1790,Some description about laptop HP Pavilion Gaming 15cx0027ua,6,Default Garanty HP,1984.12
73,Dream Machines RS206017,Used,Thin,Dream Machines,2.78,2312,Some description about laptop Dream Machines RS206017,12,Default Garanty Used laptops,568.91
74,Microsoft Surface Laptop 3 15,New,For Cut Design,Microsoft,1.35,1234,Some description about laptop Microsoft Surface Laptop 3 15,12,Default Garanty Microsoft,1583.45
75,Acer Nitro 5,New,For Business,Acer,1.35,2312,Some description about laptop Acer Nitro 5,12,Default Garanty Acer,1290.54
76,Dell Inspiron G5 15 5587,Used,For Business,Dell,2.5,1245,Some description about laptop Dell Inspiron G5 15 5587,12,Default Garanty Used laptops,1455.85
77,MSI GF63 9RCX,New,For Cut Design,MSI,1.5,2356,Some description about laptop MSI GF63 9RCX,6,Default Garanty MSI,1350.82
78,Lenovo IdeaPad S34014IWL,New,For Business,Lenovo,2.78,1234,Some description about laptop Lenovo IdeaPad S34014IWL,6,Default Garanty Used laptops,1582.13
79,HP Pavilion Gaming 15cx0027ua,Used,For Simple Tasks,HP,1.35,2539,Some description about laptop HP Pavilion Gaming 15cx0027ua,6,Default Garanty HP,1189.36
80,MSI GF63 9RCX,New,For Business,MSI,2.78,1305,Some description about laptop MSI GF63 9RCX,6,Default Garanty MSI,1903.74
81,Apple MacBook Pro,New,For Work and Study,Apple,1.35,2356,Some description about laptop Apple MacBook Pro,12,Default Garanty Apple,1013.78
82,Apple MacBook Air 13,Used,For Cut Design,Apple,2.34,1305,Some description about laptop Apple MacBook Air 13,1,Default Garanty Used laptops,1992.22
83,Google Pixelbook Go 256GB,New,Gaming,Google,2.78,2356,Some description about laptop Google Pixelbook Go 256GB,6,Default Garanty Google,916.98
