ProductID,ProductName,CategoryName,SubcategoryName,BrandName,Thicknes,Weight,ProductDescription,DefaultGaranty,DefaultGarantyName,Price
1,MSI GF63 9RCX,New,Thin,MSI,2.34,2356,Some description about laptop MSI GF63 9RCX,1,Default Garanty MSI,1294.95
2,HP Pavilion Gaming 15cx0027ua,Used,For Simple Tasks,HP,1.35,1245,Some description about laptop HP Pavilion Gaming 15cx0027ua,12,Default Garanty HP,984.30
3,Dell Inspiron G5 15 5587,Used,For Work and Study,Dell,1.24,2539,Some description about laptop Dell Inspiron G5 15 5587,6,Default Garanty Used laptops,1219.92
4,Acer Aspire 5 A51554G,New,For Work and Study,Acer,1.5,1790,Some description about laptop Acer Aspire 5 A51554G,6,Default Garanty Used laptops,1847.21
5,HP Pavilion Gaming 15cx0027ua,New,For Work and Study,HP,1.35,1790,Some description about laptop HP Pavilion Gaming 15cx0027ua,6,Default Garanty HP,1116.29
6,Microsoft Surface Laptop 3 15,New,For Business,Microsoft,2.56,2356,Some description about laptop Microsoft Surface Laptop 3 15,1,Default Garanty Microsoft,1303.02
7,Dream Machines RS206017,New,For Work and Study,Dream Machines,1.5,2539,Some description about laptop Dream Machines RS206017,1,Default Garanty Used laptops,1393.98
8,Lenovo IdeaPad S34014IWL,Used,For Simple Tasks,Lenovo,1.24,2536,Some description about laptop Lenovo IdeaPad S34014IWL,6,Default Garanty Used laptops,694.30
9,MSI GF63 9RCX,New,For Simple Tasks,MSI,2.78,1305,Some description about laptop MSI GF63 9RCX,6,Default Garanty MSI,606.95
10,Apple MacBook Air 13,Used,For Cut Design,Apple,2.34,2539,Some description about laptop Apple MacBook Air 13,6,Default Garanty Used laptops,1500.02
11,Lenovo IdeaPad 33015AST,New,For Cut Design,Lenovo,1.24,1305,Some description about laptop Lenovo IdeaPad 33015AST,1,Default Garanty Used laptops,1498.49
12,MSI GF63 9RCX,New,Gaming,MSI,1.5,2312,Some description about laptop MSI GF63 9RCX,1,Default Garanty MSI,1342.52
13,Google Pixelbook Go 256GB,New,For Cut Design,Google,2.78,1245,Some description about laptop Google Pixelbook Go 256GB,6,Default Garanty Google,1251.26
14,Dell Inspiron G5 15 5587,Used,For Business,Dell,1.24,1234,Some description about laptop Dell Inspiron G5 15 5587,1,Default Garanty Used laptops,1344.23
15,Asus ROG Strix G531GT,Used,For Work and Study,Asus,2.5,1234,Some description about laptop Asus ROG Strix G531GT,12,Default Garanty Used laptops,1048.72
16,Dream Machines RS206017,Used,For Business,Dream Machines,1.5,1790,Some description about laptop Dream Machines RS206017,6,Default Garanty Used laptops,1583.35
17,Apple MacBook Pro,New,Gaming,Apple,2.56,2312,Some description about laptop Apple MacBook Pro,6,Default Garanty Apple,1778.68
18,MSI GF63 9RCX,New,Thin,MSI,1.24,1234,Some description about laptop MSI GF63 9RCX,6,Default Garanty MSI,1920.12
19,Apple MacBook Pro,New,For Cut Design,Apple,1.24,2312,Some description about laptop Apple MacBook Pro,12,Default Garanty Apple,1220.29
20,Acer Nitro 5,New,Gaming,Acer,1.24,1790,Some description about laptop Acer Nitro 5,6,Default Garanty Acer,1184.16
21,Lenovo IdeaPad S34014IWL,New,For Simple Tasks,Lenovo,1.35,1305,Some description about laptop Lenovo IdeaPad S34014IWL,6,Default Garanty Used laptops,1587.18
22,MSI GF63 9RCX,New,For Cut Design,MSI,2.34,2539,Some description about laptop MSI GF63 9RCX,12,Default Garanty MSI,1849.56
23,Google Pixelbook Go 256GB,New,For Cut Design,Google,1.24,1234,Some description about laptop Google Pixelbook Go 256GB,1,Default Garanty Google,1004.38
24,Dream Machines RS206017,Used,For Cut Design,Dream Machines,2.5,2539,Some description about laptop Dream Machines RS206017,12,Default Garanty Used laptops,844.48
25,Apple MacBook Air 13,New,For Simple Tasks,Apple,1.35,1234,Some description about laptop Apple MacBook Air 13,6,Default Garanty Used laptops,1065.80
26,Asus ROG STRIX 5,New,For Cut Design,Asus,2.56,2536,Some description about laptop Asus ROG STRIX 5,6,Default Garanty Asus,1627.75
27,Macbook Pro 15 Retina,Used,Thin,Apple,2.56,2539,Some description about laptop Macbook Pro 15 Retina,12,Default Garanty Apple,1636.24
28,Lenovo IdeaPad S34014IWL,Used,For Work and Study,Lenovo,2.78,2539,Some description about laptop Lenovo IdeaPad S34014IWL,1,Default Garanty Used laptops,707.02
29,HP Envy 17ce0005ur,Used,Thin,HP,2.5,1305,Some description about laptop HP Envy 17ce0005ur,12,Default Garanty HP,1502.20
30,Acer Nitro 5,New,For Cut Design,Acer,2.78,2539,Some description about laptop Acer Nitro 5,12,Default Garanty Acer,981.81
31,Lenovo IdeaPad 33015AST,New,For Work and Study,Lenovo,1.35,2536,Some description about laptop Lenovo IdeaPad 33015AST,6,Default Garanty Used laptops,534.31
32,Dell Inspiron G5 15 5587,Used,For Simple Tasks,Dell,2.78,1790,Some description about laptop Dell Inspiron G5 15 5587,6,Default Garanty Used laptops,788.91
33,Apple MacBook Pro,New,Gaming,Apple,2.34,1790,Some description about laptop Apple MacBook Pro,6,Default Garanty Apple,1478.16
34,Apple MacBook Air 13,New,Thin,Apple,2.78,1234,Some description about laptop Apple MacBook Air 13,12,Default Garanty Used laptops,1094.29
35,MSI GF63 9RCX,New,For Simple Tasks,MSI,2.34,2312,Some description about laptop MSI GF63 9RCX,6,Default Garanty MSI,1048.15
36,Acer Aspire 5 A51554G,New,For Work and Study,Acer,2.5,1790,Some description about laptop Acer Aspire 5 A51554G,1,Default Garanty Used laptops,1895.36
37,Apple MacBook Air 13,New,For Work and Study,Apple,1.35,2539,Some description about laptop Apple MacBook Air 13,6,Default Garanty Used laptops,742.19
38,Asus ROG STRIX 5,New,For Cut Design,Asus,1.24,2312,Some description about laptop Asus ROG STRIX 5,12,Default Garanty Asus,1907.42
39,Lenovo IdeaPad S34014IWL,New,For Work and Study,Lenovo,2.56,1245,Some description about laptop Lenovo IdeaPad S34014IWL,6,Default Garanty Used laptops,1645.57
40,Dell Inspiron G5 15 5587,Used,Thin,Dell,1.5,2312,Some description about laptop Dell Inspiron G5 15 5587,6,Default Garanty Used laptops,1380.58
41,Apple MacBook Pro,New,For Simple Tasks,Apple,1.5,2312,Some description about laptop Apple MacBook Pro,12,Default Garanty Apple,1756.74
42,HP 255 G7,Used,For Simple Tasks,HP,2.56,1245,Some description about laptop HP 255 G7,6,Default Garanty Used laptops,1133.17
43,Dell Inspiron G5 15 5587,Used,Thin,Dell,2.56,2356,Some description about laptop Dell Inspiron G5 15 5587,12,Default Garanty Used laptops,1271.52
44,Asus ROG Strix G531GT,Used,Thin,Asus,2.34,1790,Some description about laptop Asus ROG Strix G531GT,6,Default Garanty Used laptops,581.06
45,Acer Nitro 5,New,Gaming,Acer,2.34,2356,Some description about laptop Acer Nitro 5,1,Default Garanty Acer,669.31
46,Macbook Pro 15 Retina,Used,Gaming,Apple,1.5,1245,Some description about laptop Macbook Pro 15 Retina,6,Default Garanty Apple,1797.36
47,Lenovo IdeaPad 33015AST,New,For Work and Study,Lenovo,2.5,2312,Some description about laptop Lenovo IdeaPad 33015AST,12,Default Garanty Used laptops,1632.42
48,Dream Machines RS206017,New,For Business,Dream Machines,1.35,2536,Some description about laptop Dream Machines RS206017,1,Default Garanty Used laptops,557.39
49,Microsoft Surface Laptop 3 15,New,Gaming,Microsoft,2.78,2312,Some description about laptop Microsoft Surface Laptop 3 15,1,Default Garanty Microsoft,1523.97
50,MSI GL65 9SD206XRO,New,For Cut Design,MSI,2.78,1245,Some description about laptop MSI GL65 9SD206XRO,6,Default Garanty Used laptops,1171.24
51,MSI GL65 9SD206XRO,Used,For Business,MSI,2.56,1234,Some description about laptop MSI GL65 9SD206XRO,1,Default Garanty Used laptops,1724.81
52,HP Envy 17ce0005ur,Used,For Work and Study,HP,1.24,1305,Some description about laptop HP Envy 17ce0005ur,1,Default Garanty HP,1848.58
53,Google Pixelbook Go 256GB,New,Thin,Google,2.5,2536,Some description about laptop Google Pixelbook Go 256GB,12,Default Garanty Google,1678.16
54,Google Pixelbook Go 256GB,New,Gaming,Google,1.24,1790,Some description about laptop Google Pixelbook Go 256GB,12,Default Garanty Google,903.28
55,Lenovo IdeaPad S34014IWL,Used,Gaming,Lenovo,1.35,2356,Some description about laptop Lenovo IdeaPad S34014IWL,12,Default Garanty Used laptops,1385.32
56,Macbook Pro 15 Retina,Used,For Cut Design,Apple,2.78,1245,Some description about laptop Macbook Pro 15 Retina,12,Default Garanty Apple,606.58
57,Acer Aspire 5 A51554G,New,For Work and Study,Acer,1.35,1234,Some description about laptop Acer Aspire 5 A51554G,6,Default Garanty Used laptops,845.46
58,Dream Machines RS206017,Used,Thin,Dream Machines,1.24,1305,Some description about laptop Dream Machines RS206017,6,Default Garanty Used laptops,584.23
59,Acer Nitro 5,New,For Simple Tasks,Acer,2.78,2356,Some description about laptop Acer Nitro 5,1,Default Garanty Acer,1654.44
60,HP 255 G7,Used,For Work and Study,HP,2.56,1305,Some description about laptop HP 255 G7,1,Default Garanty Used laptops,644.82
