ProductID,ProductName,CategoryName,SubcategoryName,BrandName,Thicknes,Weight,ProductDescription,DefaultGaranty,DefaultGarantyName,Price
1,MSI GF63 9RCX,New,For Business,MSI,2.78,1234,Some description about laptop MSI GF63 9RCX,6,Default Garanty MSI,949.92
2,Apple MacBook Pro,New,For Business,Apple,2.5,2356,Some description about laptop Apple MacBook Pro,6,Default Garanty Apple,1407.96
3,MSI GF63 9RCX,New,For Work and Study,MSI,1.35,1234,Some description about laptop MSI GF63 9RCX,12,Default Garanty MSI,1409.45
4,Google Pixelbook Go 256GB,New,For Simple Tasks,Google,2.34,2539,Some description about laptop Google Pixelbook Go 256GB,12,Default Garanty Google,691.39
5,Apple MacBook Air 13,Used,For Work and Study,Apple,1.24,1790,Some description about laptop Apple MacBook Air 13,1,Default Garanty Used laptops,1019.32
6,HP Pavilion Gaming 15cx0027ua,Used,For Cut Design,HP,2.78,2312,Some description about laptop HP Pavilion Gaming 15cx0027ua,6,Default Garanty HP,1407.37
7,Lenovo IdeaPad 33015AST,New,Thin,Lenovo,2.5,1790,Some description about laptop Lenovo IdeaPad 33015AST,6,Default Garanty Used laptops,936.49
8,Microsoft Surface Laptop 3 15,Used,For Simple Tasks,Microsoft,1.5,2356,Some description about laptop Microsoft Surface Laptop 3 15,12,Default Garanty Microsoft,1457.34
9,Dream Machines RS206017,Used,For Business,Dream Machines,2.5,2356,Some description about laptop Dream Machines RS206017,12,Default Garanty Used laptops,1392.35
10,Dell Inspiron G5 15 5587,Used,For Simple Tasks,Dell,2.5,2539,Some description about laptop Dell Inspiron G5 15 5587,1,Default Garanty Used laptops,1379.36
11,Asus ROG STRIX 5,New,Thin,Asus,1.24,1305,Some description about laptop Asus ROG STRIX 5,1,Default Garanty Asus,1799.85
12,Microsoft Surface Laptop 3 15,New,For Work and Study,Microsoft,1.5,1790,Some description about laptop Microsoft Surface Laptop 3 15,6,Default Garanty Microsoft,1513.90
13,HP Pavilion Gaming 15cx0027ua,Used,For Simple Tasks,HP,1.5,1790,Some description about laptop HP Pavilion Gaming 15cx0027ua,1,Default Garanty HP,1801.62
14,Lenovo IdeaPad S34014IWL,New,Gaming,Lenovo,1.35,2312,Some description about laptop Lenovo IdeaPad S34014IWL,12,Default Garanty Used laptops,738.97
15,HP Pavilion Gaming 15cx0027ua,New,For Business,HP,1.24,1245,Some description about laptop HP Pavilion Gaming 15cx0027ua,12,Default Garanty HP,679.25
16,Acer Nitro 5,New,Thin,Acer,1.24,2539,Some description about laptop Acer Nitro 5,1,Default Garanty Acer,1296.35
17,MSI GL65 9SD206XRO,New,Gaming,MSI,2.78,2356,Some description about laptop MSI GL65 9SD206XRO,6,Default Garanty Used laptops,1126.30
18,Dream Machines RS206017,New,For Business,Dream Machines,2.34,1305,Some description about laptop Dream Machines RS206017,6,Default Garanty Used laptops,1985.75
19,Macbook Pro 15 Retina,New,For Work and Study,Apple,1.35,1790,Some description about laptop Macbook Pro 15 Retina,12,Default Garanty Apple,781.80
20,Lenovo IdeaPad S34014IWL,New,For Business,Lenovo,1.5,1234,Some description about laptop Lenovo IdeaPad S34014IWL,12,Default Garanty Used laptops,1158.46
21,MSI GF63 9RCX,New,Thin,MSI,2.34,1245,Some description about laptop MSI GF63 9RCX,6,Default Garanty MSI,1562.24
22,Microsoft Surface Laptop 3 15,New,Thin,Microsoft,1.35,1245,Some description about laptop Microsoft Surface Laptop 3 15,12,Default Garanty Microsoft,1264.74
23,Apple MacBook Pro,New,Gaming,Apple,1.24,2536,Some description about laptop Apple MacBook Pro,6,Default Garanty Apple,950.27
24,Asus ROG STRIX 5,New,For Simple Tasks,Asus,2.78,1234,Some description about laptop Asus ROG STRIX 5,12,Default Garanty Asus,1189.05
25,MSI GF63 9RCX,New,For Cut Design,MSI,2.78,1790,Some description about laptop MSI GF63 9RCX,6,Default Garanty MSI,1618.61
26,Dell Inspiron G5 15 5587,Used,Thin,Dell,2.78,2312,Some description about laptop Dell Inspiron G5 15 5587,12,Default Garanty Used laptops,1201.25
27,Apple MacBook Air 13,Used,For Business,Apple,1.35,2356,Some description about laptop Apple MacBook Air 13,12,Default Garanty Used laptops,735.47
28,Microsoft Surface Laptop 3 15,New,For Simple Tasks,Microsoft,2.78,2312,Some description about laptop Microsoft Surface Laptop 3 15,12,Default Garanty Microsoft,1780.81
29,Dream Machines RS206017,Used,For Business,Dream Machines,2.78,1305,Some description about laptop Dream Machines RS206017,6,Default Garanty Used laptops,1449.50
30,Microsoft Surface Laptop 3 15,New,For Work and Study,Microsoft,2.78,1245,Some description about laptop Microsoft Surface Laptop 3 15,6,Default Garanty Microsoft,1621.76
31,Acer Aspire 5 A51554G,New,Thin,Acer,1.5,1305,Some description about laptop Acer Aspire 5 A51554G,12,Default Garanty Used laptops,1737.70
32,HP 255 G7,Used,For Business,HP,2.56,1234,Some description about laptop HP 255 G7,12,Default Garanty Used laptops,1568.05
33,Acer Aspire 5 A51554G,Used,Thin,Acer,2.5,2539,Some description about laptop Acer Aspire 5 A51554G,6,Default Garanty Used laptops,769.34
34,Lenovo IdeaPad S34014IWL,New,Thin,Lenovo,2.78,2356,Some description about laptop Lenovo IdeaPad S34014IWL,1,Default Garanty Used laptops,1596.33
35,Acer Aspire 5 A51554G,Used,Gaming,Acer,1.24,2539,Some description about laptop Acer Aspire 5 A51554G,12,Default Garanty Used laptops,1250.38
36,Asus ROG STRIX 5,New,For Cut Design,Asus,2.56,1305,Some description about laptop Asus ROG STRIX 5,12,Default Garanty Asus,1111.27
37,Asus ROG STRIX 5,New,Thin,Asus,2.56,2356,Some description about laptop Asus ROG STRIX 5,6,Default Garanty Asus,1753.33
38,Acer Aspire 5 A51554G,Used,For Simple Tasks,Acer,2.34,2536,Some description about laptop Acer Aspire 5 A51554G,6,Default Garanty Used laptops,1269.18
39,Macbook Pro 15 Retina,Used,Gaming,Apple,2.34,2312,Some description about laptop Macbook Pro 15 Retina,1,Default Garanty Apple,1366.19
40,Microsoft Surface Laptop 3 15,Used,For Cut Design,Microsoft,2.56,1234,Some description about laptop Microsoft Surface Laptop 3 15,12,Default Garanty Microsoft,936.40
41,Macbook Pro 15 Retina,New,Thin,Apple,2.34,1234,Some description about laptop Macbook Pro 15 Retina,6,Default Garanty Apple,1554.57
42,Lenovo IdeaPad 33015AST,Used,For Work and Study,Lenovo,2.78,2356,Some description about laptop Lenovo IdeaPad 33015AST,6,Default Garanty Used laptops,1172.88
43,HP Pavilion Gaming 15cx0027ua,New,Gaming,HP,1.35,2312,Some description about laptop HP Pavilion Gaming 15cx0027ua,6,Default Garanty HP,1146.13
44,HP 255 G7,Used,Gaming,HP,1.35,2312,Some description about laptop HP 255 G7,1,Default Garanty Used laptops,1712.40
45,Asus ROG Strix G531GT,Used,For Work and Study,Asus,1.35,1790,Some description about laptop Asus ROG Strix G531GT,6,Default Garanty Used laptops,1511.30
46,MSI GL65 9SD206XRO,New,Gaming,MSI,1.24,2539,Some description about laptop MSI GL65 9SD206XRO,1,Default Garanty Used laptops,1587.10
47,Dream Machines RS206017,New,For Work and Study,Dream Machines,2.34,2536,Some description about laptop Dream Machines RS206017,1,Default Garanty Used laptops,760.39
48,MSI GL65 9SD206XRO,Used,For Simple Tasks,MSI,1.24,2356,Some description about laptop MSI GL65 9SD206XRO,1,Default Garanty Used laptops,1363.20
49,Dell Inspiron G5 15 5587,Used,For Business,Dell,2.5,1305,Some description about laptop Dell Inspiron G5 15 5587,12,Default Garanty Used laptops,1674.38
