ProductID,ProductName,CategoryName,SubcategoryName,BrandName,Thicknes,Weight,ProductDescription,DefaultGaranty,DefaultGarantyName,Price
1,Acer Aspire 5 A51554G,Used,For Business,Acer,2.56,1790,Some description about laptop Acer Aspire 5 A51554G,12,Default Garanty Used laptops,681.10
2,Lenovo IdeaPad S34014IWL,New,For Work and Study,Lenovo,1.24,2539,Some description about laptop Lenovo IdeaPad S34014IWL,1,Default Garanty Used laptops,1779.65
3,Acer Aspire 5 A51554G,Used,Thin,Acer,1.5,1305,Some description about laptop Acer Aspire 5 A51554G,12,Default Garanty Used laptops,1223.06
4,MSI GL65 9SD206XRO,Used,For Business,MSI,1.35,2536,Some description about laptop MSI GL65 9SD206XRO,1,Default Garanty Used laptops,911.09
5,MSI GL65 9SD206XRO,New,For Work and Study,MSI,2.56,2539,Some description about laptop MSI GL65 9SD206XRO,12,Default Garanty Used laptops,1636.23
6,Apple MacBook Pro,New,For Cut Design,Apple,2.78,1245,Some description about laptop Apple MacBook Pro,12,Default Garanty Apple,1890.21
7,HP Envy 17ce0005ur,New,For Work and Study,HP,2.34,1234,Some description about laptop HP Envy 17ce0005ur,1,Default Garanty HP,910.64
8,Asus ROG Strix G531GT,Used,For Business,Asus,2.34,1305,Some description about laptop Asus ROG Strix G531GT,6,Default Garanty Used laptops,1931.32
9,Lenovo IdeaPad 33015AST,New,Thin,Lenovo,2.78,2539,Some description about laptop Lenovo IdeaPad 33015AST,6,Default Garanty Used laptops,1603.70
10,Apple MacBook Pro,New,For Business,Apple,1.5,1790,Some description about laptop Apple MacBook Pro,6,Default Garanty Apple,531.47
11,HP 255 G7,Used,For Simple Tasks,HP,1.24,1305,Some description about laptop HP 255 G7,6,Default Garanty Used laptops,788.56
12,HP Pavilion Gaming 15cx0027ua,Used,For Simple Tasks,HP,2.56,1245,Some description about laptop HP Pavilion Gaming 15cx0027ua,12,Default Garanty HP,1480.91
13,Apple MacBook Pro,New,Gaming,Apple,2.56,1234,Some description about laptop Apple MacBook Pro,12,Default Garanty Apple,718.01
14,Dream Machines RS206017,New,Thin,Dream Machines,2.78,1234,Some description about laptop Dream Machines RS206017,1,Default Garanty Used laptops,1544.76
15,HP 255 G7,Used,For Cut Design,HP,2.5,2356,Some description about laptop HP 255 G7,1,Default Garanty Used laptops,1606.16
16,Asus ROG STRIX 5,New,For Simple Tasks,Asus,1.24,1305,Some description about laptop Asus ROG STRIX 5,6,Default Garanty Asus,839.37
17,Lenovo IdeaPad 33015AST,New,For Simple Tasks,Lenovo,1.35,1790,Some description about laptop Lenovo IdeaPad 33015AST,12,Default Garanty Used laptops,507.52
18,HP Envy 17ce0005ur,New,Thin,HP,2.34,2312,Some description about laptop HP Envy 17ce0005ur,1,Default Garanty HP,1855.48
19,MSI GL65 9SD206XRO,Used,For Business,MSI,2.5,2536,Some description about laptop MSI GL65 9SD206XRO,1,Default Garanty Used laptops,810.78
20,HP Pavilion Gaming 15cx0027ua,New,For Simple Tasks,HP,2.78,2539,Some description about laptop HP Pavilion Gaming 15cx0027ua,1,Default Garanty HP,521.11
21,Apple MacBook Air 13,Used,For Cut Design,Apple,1.5,1234,Some description about laptop Apple MacBook Air 13,6,Default Garanty Used laptops,1425.93
22,Acer Aspire 5 A51554G,New,For Simple Tasks,Acer,2.56,1790,Some description about laptop Acer Aspire 5 A51554G,1,Default Garanty Used laptops,1805.23
23,Dell Inspiron G5 15 5587,Used,Gaming,Dell,2.34,2536,Some description about laptop Dell Inspiron G5 15 5587,12,Default Garanty Used laptops,1922.71
24,Dream Machines RS206017,New,For Simple Tasks,Dream Machines,2.5,2312,Some description about laptop Dream Machines RS206017,12,Default Garanty Used laptops,1050.02
25,Lenovo IdeaPad S34014IWL,New,Thin,Lenovo,2.56,1234,Some description about laptop Lenovo IdeaPad S34014IWL,1,Default Garanty Used laptops,1334.42
26,HP Pavilion Gaming 15cx0027ua,Used,Gaming,HP,2.34,2536,Some description about laptop HP Pavilion Gaming 15cx0027ua,6,Default Garanty HP,1630.94
27,HP Envy 17ce0005ur,Used,Gaming,HP,2.78,1305,Some description about laptop HP Envy 17ce0005ur,1,Default Garanty HP,840.83
28,Acer Aspire 5 A51554G,Used,For Business,Acer,2.5,2312,Some description about laptop Acer Aspire 5 A51554G,12,Default Garanty Used laptops,1262.00
29,Asus ROG Strix G531GT,Used,Thin,Asus,2.78,2539,Some description about laptop Asus ROG Strix G531GT,1,Default Garanty Used laptops,1715.44
