date_id	 ,delivery_detail_id,location_id,clients_id,sum_weight
2020-05-31,5894,9620,11356,32
2020-12-16,16343,28195,5204,67
2019-12-25,19329,18022,5101,54
2019-09-09,17416,27581,1451,44
2020-01-06,1096,26677,4069,88
2018-01-27,14518,8378,4195,92
2018-01-02,17363,22529,9628,88
2018-12-01,15993,8027,6212,47
2018-08-28,8374,4962,1694,27
2018-02-10,17508,10768,5650,71
2018-11-11,21598,7349,6196,85
2019-12-05,4444,7814,11441,9
2020-11-06,10179,21868,3677,51
2020-04-05,14307,17086,4980,17
2019-05-25,10071,15003,1629,30
2018-01-20,5138,20464,9442,98
2020-03-09,7289,10702,7150,39
2020-04-27,21272,4127,11768,20
2020-11-05,6728,24749,8346,90
2020-10-26,940,17939,4597,21
2019-04-15,10849,27858,11043,88
2020-06-22,10734,6307,10821,38
2020-06-22,11043,18941,8179,30
2019-03-05,13953,16855,8673,17
2018-08-29,4519,24429,6487,71
2018-05-31,9411,6942,1436,88
2018-03-19,993,17748,4229,93
2020-01-16,11459,3325,8802,86
2020-01-14,9787,29065,8278,58
2018-11-29,1895,27479,2376,4
2020-04-07,9599,28799,10811,36
2020-12-25,7245,23842,7479,20
2020-07-04,8313,3177,7537,15
2018-08-22,5572,16855,1033,56
2018-03-04,11338,25933,9473,84
2018-02-06,8600,22953,8729,38
2018-04-17,1449,984,3218,99
2019-08-27,8942,28195,7793,81
2018-02-17,2553,24224,10555,91
2019-03-18,12326,29706,8134,23
2018-02-04,14171,2414,1273,100
2018-10-01,6561,2983,11609,51
2019-10-30,2332,15671,11547,30
2020-03-17,20723,5434,4305,75
2019-11-29,17468,28853,4547,26
2019-11-06,13538,11620,11549,7
2019-04-30,1997,4424,746,72
2018-12-21,9461,7840,10613,99
2018-07-08,2169,4427,3785,24
2019-09-18,13013,11709,9632,65
2018-12-03,14128,17928,8034,67
2019-10-21,6538,29053,3258,41
2019-08-26,9518,17404,3648,83
2020-03-27,5716,2844,11861,79
2020-02-05,5826,10055,9170,38
2019-10-04,1701,18268,10728,30
2019-10-22,14800,3502,6386,38
2018-11-19,12071,915,10665,59
2019-08-07,9170,16805,2362,83
2018-10-22,5497,25882,3105,87
2018-10-22,13009,1622,6112,100
2020-05-10,1526,17016,4921,71
2020-09-29,20030,22892,1814,64
2018-01-07,7660,17642,2309,84
2019-01-19,16058,26261,3661,21
2020-09-21,424,29169,7151,42
2020-02-02,1241,18557,11658,41
2019-12-21,10091,608,4976,71
2019-10-07,5200,20399,1522,35
2018-10-30,5111,9036,2872,73
2020-07-01,20422,3014,11023,24
2019-06-24,7072,5159,8117,52
2019-08-18,6082,21335,5021,100
2018-02-18,11629,11674,5701,7
2020-09-26,18482,5374,291,50
2020-11-12,17491,23907,4070,60
2020-07-28,4658,22301,1312,52
2019-12-03,18073,10130,3105,81
2018-02-02,3140,15042,110,3
2020-09-02,8039,15104,11680,64
2018-01-23,15704,14954,1980,88
2020-07-07,1011,10106,9521,69
2019-07-28,5670,3508,11520,35
2018-11-04,18094,12763,909,7
2018-10-27,537,23319,10103,57
2018-02-15,1069,13173,10045,51
2020-04-07,21159,8011,2579,1
2020-11-04,17575,26062,3013,59
2019-04-09,19257,26175,7955,42
2018-10-13,9524,1575,3792,67
2020-02-06,18612,10142,3738,7
2020-12-07,6642,26958,3480,29
2019-12-24,20985,5040,11752,58
2018-11-09,7621,24165,11192,46
2019-11-06,20952,24117,312,13
2018-08-12,7049,26269,7704,78
2019-12-22,5873,9192,4284,78
2020-09-17,20681,17655,10516,47
2018-02-24,4068,25088,3345,28
2020-01-19,1695,6829,11124,29
2019-03-11,17442,19038,3592,15
2020-07-19,14885,49,9781,49
2018-09-22,17498,5355,9710,34
2018-08-17,12193,2416,11344,43
2019-06-07,16094,27479,8907,92
2020-08-01,19973,3026,406,78
2020-11-26,10283,22349,5895,65
2018-04-17,11506,2856,3908,30
2019-07-17,14593,26034,4146,69
2019-05-03,14153,7912,7378,34
2018-01-13,18846,24300,804,99
2018-05-07,2208,1330,2979,90
2019-05-20,21194,5844,2178,44
2019-01-25,3696,27631,8976,93
2020-12-31,8119,22007,11013,83
2020-12-12,579,7309,8576,58
2018-02-21,17307,19007,11120,2
2020-01-22,14660,27813,9375,61
2018-03-13,12154,25363,11590,54
2020-02-17,4658,5446,661,13
2018-05-02,21689,11166,6045,41
2018-01-31,21191,6233,2146,98
2019-01-15,2283,24357,7483,24
2018-02-23,7272,14901,6224,30
2020-08-24,9431,7048,1704,79
2019-10-13,11599,25087,9558,39
2020-09-22,3391,26226,11998,57
2020-05-20,8463,29687,10600,16
2019-06-30,919,5924,4539,96
2020-08-25,7386,929,1382,22
2018-05-22,10235,822,2732,34
2018-01-11,6413,19790,10145,34
2020-02-29,15535,11529,10680,18
2019-04-13,5105,26757,789,18
2018-01-02,2419,6898,7433,85
2020-10-03,2666,4267,7248,19
2020-04-15,9032,16802,7474,38
2018-04-16,4070,25836,11299,15
2018-09-23,17014,28477,10639,69
2019-01-29,5223,7922,9022,43
2019-01-10,18625,27106,1283,37
2020-12-27,1333,27028,2843,6
2018-10-16,9824,13919,8698,91
2020-07-14,7094,1,2791,51
2020-12-12,21318,19673,7673,54
2018-04-15,7440,15124,8342,25
2019-02-26,3165,17784,7815,31
2018-03-16,21500,20597,154,75
2019-04-22,20703,3401,11572,53
2020-01-05,12068,20767,8321,94
2020-02-12,21148,12576,9043,91
2018-09-10,18018,15733,2268,95
2018-12-16,2381,29088,731,29
2019-12-20,18826,26665,7844,52
2019-05-13,1122,9012,9132,85
2018-08-10,20492,8894,3895,67
2018-02-10,383,16934,2564,35
2019-10-30,6393,13575,3066,33
2018-10-24,3103,23445,6933,21
2019-10-11,20919,1704,5393,33
2018-06-18,7259,13009,5587,25
2020-10-03,5114,3806,3074,52
2020-01-29,16073,12483,9491,64
2018-03-11,7491,21802,1352,28
2020-05-05,5531,18195,7422,78
2020-08-05,17117,1848,6835,75
2019-06-30,13352,9466,6807,89
2020-09-29,18092,11366,8331,69
2018-01-29,19198,10235,5463,92
2018-05-19,8699,3830,3998,98
2018-04-18,11634,7266,8697,99
2020-05-12,15741,4026,5776,35
2019-04-25,16752,3535,7681,66
2020-01-14,11569,4171,10787,36
2020-02-10,7095,6417,6112,88
2018-11-03,11140,21414,5735,22
2019-09-27,7785,28080,6016,60
2020-09-20,21954,29230,11108,60
2018-04-26,6906,20660,4817,100
2020-01-28,6791,2682,2187,20
2020-10-01,11914,23133,1947,46
2019-11-02,19125,18394,2470,5
2019-07-31,241,28381,393,55
2018-07-24,19147,12598,6404,8
2018-05-13,13965,13580,3495,23
2018-09-16,21084,8988,8099,39
2019-09-07,20551,6324,5072,5
2018-09-15,17060,20006,4921,38
2019-07-25,9186,27594,5755,95
2020-11-03,9842,11400,7559,68
2020-03-16,9305,3994,9763,82
2018-04-13,11299,5858,4517,62
2019-01-17,16028,15347,6385,45
2019-09-23,21836,3351,5518,86
2020-10-22,18037,1249,9379,81
2018-05-19,12295,1779,11718,19
2020-07-08,11076,8474,11911,31
2019-12-04,10236,20951,5167,21
2020-01-21,5290,21787,689,51
2018-01-09,10307,4552,9222,22
2018-03-06,3714,13265,579,45
2020-06-17,10091,12773,9623,22
2018-07-04,18031,16209,5274,36
2019-09-18,14705,26912,5089,64
2019-12-06,12266,29633,2857,48
2020-08-09,17876,14679,10640,70
2018-02-08,19667,22861,6105,25
2020-10-19,7871,7029,8968,98
2019-07-18,17863,25618,10215,30
2018-03-08,16742,14950,6448,21
2019-07-10,17874,18804,6764,89
2019-06-26,17841,16073,2829,50
2019-02-22,15205,3038,10441,94
2020-07-18,14159,29836,405,79
2018-08-03,13790,14561,9188,34
2018-06-13,17551,256,3287,18
2018-11-22,16147,21387,3160,74
2018-01-18,4640,22920,3065,49
2019-01-30,1825,29629,3070,56
2019-05-28,3004,1576,11470,85
2019-12-10,14574,14003,6053,20
2020-03-05,14264,9886,9436,9
2018-04-03,1563,7901,11969,39
2020-04-22,3267,9371,8274,95
2020-11-05,9671,20747,11841,97
2019-12-17,8430,9953,2232,64
2018-07-01,19377,15651,5836,34
2018-06-09,7964,2695,7210,7
2020-09-21,14763,784,521,48
2018-01-18,21687,8736,2996,93
2018-09-05,12909,27783,1228,8
2020-03-24,13830,9094,10163,91
2019-08-01,3016,23729,1611,50
2018-12-20,8995,3829,6774,54
2020-02-14,9364,14925,3518,89
2018-01-15,9735,8334,2564,53
2018-07-23,4369,19246,7971,79
