Data,PaymentID,GarantyID,ClientID,DiscountID,ProductID,AmountProducts,TotalPrice,TotalPriceDiscount,EndGaranty,OrdersID
2019-03-04,84,36226,4612,40209,369898,46,7846.01,21309.56,2022-01-28,936
2019-04-10,146,73101,2476,70029,354590,97,9219.41,14633.77,2021-07-06,6476
2020-01-02,823,33091,6752,38241,27055,20,764.81,32041.34,2019-12-29,5398
2019-10-02,375,29328,6850,66208,261456,40,7065.45,44206.27,2020-07-26,6246
2020-01-07,286,68839,862,95716,44351,53,514.25,2024.19,2019-09-15,6492
2019-11-17,1024,18869,6249,49349,384911,43,3314.94,33016.63,2019-02-17,15959
2019-06-12,863,41791,4106,59535,239938,24,6474.08,47301.28,2020-07-21,11147
2019-08-28,739,6234,6534,42372,68474,24,7729.1,19841.39,2019-05-23,8297
2019-11-06,1107,13061,4554,69600,100608,89,2655.81,18582.49,2021-02-08,13034
2019-05-14,1063,48674,3380,76617,371519,12,2456.92,38919.66,2019-12-25,3960
2019-11-10,543,5349,5067,29835,309188,78,5662.84,3277.7,2020-06-24,4088
2019-03-08,385,74294,3319,49285,32916,70,2138.41,10896.23,2019-08-26,16561
2019-12-20,171,36954,4826,19046,4439,66,3991.89,39879.46,2021-07-01,16650
2019-09-03,908,71258,6043,51616,224671,96,2213.57,6956.36,2019-07-24,3439
2019-04-12,588,68090,8285,41843,216642,91,7243.57,23486.5,2021-01-09,16771
2019-09-05,373,35982,4412,11620,122915,35,5293.18,3387.95,2019-11-08,2413
2019-03-28,879,14047,1289,7618,129196,10,9667.31,39842.57,2021-03-23,7297
2019-10-01,206,69921,873,82997,172934,6,6471.91,21478.23,2020-03-16,631
2019-03-25,283,20928,7595,68951,13623,2,6732.13,9056.48,2020-10-15,10928
2019-05-25,1139,35032,7729,46499,172538,83,716.2,24714.31,2019-11-06,15354
2020-01-01,835,65130,1100,52288,228883,33,2498.08,11584.27,2021-12-02,4390
2019-07-01,1017,26720,8484,55273,161876,61,3469.94,42599.42,2021-07-22,7513
2019-01-18,773,25605,778,24076,161032,6,7245.78,40780.95,2019-05-18,11601
2019-02-26,705,68461,4589,48822,208728,86,2544.17,37083.64,2020-05-13,1397
2019-03-08,633,55746,3823,26162,296026,18,6470.15,6814.41,2020-11-26,4999
2019-06-02,925,67425,3895,37105,186980,44,9947.81,38012.29,2021-03-12,755
2019-02-26,222,7201,1478,42692,202632,54,3069.44,43297.29,2019-06-12,17194
2019-09-08,744,27033,7077,92614,119828,82,6560.58,37442.0,2019-12-12,9834
2019-02-03,384,44998,827,43138,66026,47,3785.88,1127.2,2020-01-04,18338
2019-05-27,799,73509,6500,36695,385135,65,5737.56,42814.91,2020-04-17,7829
2020-01-04,182,39999,3695,10108,190359,86,9569.99,21084.71,2020-12-08,12797
2019-09-23,36,25019,7871,88329,261819,13,3541.93,40528.27,2020-12-21,9917
2019-01-20,1034,63855,214,84037,261954,41,7585.26,41188.37,2020-08-02,16005
2019-07-12,126,71704,4825,73963,167954,61,3469.74,48818.66,2019-09-18,9784
2019-03-31,1025,72855,5575,67529,385531,44,8702.67,13361.48,2020-05-07,5725
2019-04-13,361,21863,3089,12850,67261,56,2536.61,38775.31,2019-06-16,3781
2019-02-08,672,42293,6552,84679,288968,22,6313.11,10570.42,2019-03-30,14608
2019-02-05,145,34858,1130,71398,223812,95,9046.67,1396.73,2021-02-24,11694
2019-02-21,1146,68164,8075,99522,74500,24,5341.44,35361.3,2021-09-26,18443
2019-08-31,288,58049,3083,861,63526,8,2621.56,9295.88,2020-11-19,10256
2019-01-25,208,12861,5886,19418,201078,30,5961.93,24242.14,2021-10-20,8124
2019-02-08,190,14504,6433,78767,143971,39,5677.42,24313.42,2020-08-23,5047
2019-04-11,998,37646,6651,42634,20677,15,7967.02,142.19,2021-06-18,2788
2019-08-21,67,42090,4706,75454,269742,46,5302.31,22889.97,2020-01-20,3147
2019-09-02,756,24369,4730,18004,276245,85,2612.5,28438.43,2021-11-14,7472
2019-02-01,83,3974,9280,5704,259585,52,5636.73,36092.78,2019-03-05,2332
2019-01-16,425,26170,3014,42141,107919,90,3462.48,15010.93,2019-06-17,8280
2019-11-28,5,12973,2667,94966,194362,15,1227.02,49039.31,2021-06-12,4567
2019-06-18,924,36351,870,19188,115892,67,182.85,35763.38,2019-11-04,8261
2019-07-21,507,37863,2726,23269,99164,31,2469.81,7827.93,2021-04-05,17307
2019-01-26,85,33638,488,11172,294922,77,3376.88,1359.43,2019-04-26,8766
2019-09-12,806,63411,4176,96500,282477,11,8054.43,21713.07,2020-02-11,7663
2019-10-02,611,37802,4789,36147,247980,64,7131.52,22349.58,2021-09-03,14228
2019-11-27,43,60872,2996,14640,107584,49,5828.29,35118.9,2020-04-07,5781
2019-07-29,129,28258,9408,97733,282030,78,1607.5,15698.66,2019-04-27,6296
2019-03-13,175,1401,3742,97447,239854,72,577.74,45523.55,2022-01-28,9739
2019-06-20,712,13273,9567,77185,53626,52,7272.21,7136.2,2019-07-18,2611
2019-08-30,978,8125,9265,92631,148725,51,4993.95,7496.05,2020-11-02,4324
2019-06-28,869,22910,2908,52867,187068,31,9932.06,26510.85,2021-12-01,19559
2019-02-11,242,40635,7473,89837,290807,8,5698.16,38546.66,2020-04-17,10438
2019-04-30,601,47880,3929,21471,112011,36,450.36,24397.61,2019-06-05,17773
2019-09-07,1073,28978,2596,80103,292182,15,774.57,35476.43,2020-02-25,11005
