Data,PaymentID,GarantyID,ClientID,DiscountID,ProductID,AmountProducts,TotalPrice,TotalPriceDiscount,EndGaranty,OrdersID
2019-05-13,109,67902,3540,88284,300768,38,8338.76,255.52,2020-10-20,17009
2019-09-03,12,12847,2816,81952,160749,87,4503.68,625.6,2019-04-05,16566
2019-09-26,47,67992,2403,47479,260859,80,8380.3,44210.4,2021-08-09,14753
2019-09-29,193,8259,8946,89118,344501,77,8413.17,4722.49,2019-04-02,9645
2019-07-29,147,63533,5042,67137,40073,12,7781.05,45853.18,2019-05-17,18057
2019-03-13,1081,43446,4042,16881,48928,89,9796.78,4313.33,2020-05-24,6981
2019-06-05,980,48961,9353,73217,115917,53,3186.07,18215.55,2020-01-10,7767
2019-03-02,499,45814,4896,65067,283520,48,3372.31,42937.76,2020-11-04,5449
2019-09-28,1132,34981,5788,99528,322612,70,6123.34,40965.47,2019-09-28,19108
2019-11-01,817,61807,1438,73464,313315,52,7112.99,1323.34,2021-02-06,7695
2019-01-24,1123,39035,3505,99103,198747,1,6902.19,26874.57,2021-10-18,18563
2019-06-18,943,64246,9782,57925,136947,30,6906.58,36426.35,2020-02-10,13249
2019-02-12,343,20059,6425,16794,62830,91,6831.53,1951.37,2019-05-15,19635
2019-11-22,324,9913,116,8896,7702,43,5490.44,21079.6,2019-03-11,4961
2019-11-28,995,14005,456,18592,129981,6,278.04,808.26,2020-05-15,7966
2019-01-20,135,66596,3136,53779,92607,95,5428.52,43751.13,2020-07-12,4982
2019-12-18,413,37532,6717,38949,45663,19,8571.69,46679.93,2021-12-23,11764
2019-05-18,1124,60827,9211,53709,371808,29,9812.64,37086.49,2019-07-05,19569
2019-10-03,888,11463,4315,47261,251980,27,7727.46,35507.91,2020-07-20,3485
2019-05-28,1186,3525,2060,85560,137049,64,3511.6,11631.34,2021-09-29,12137
2019-09-28,690,17480,2970,80352,283337,23,7376.2,3320.35,2021-06-21,6371
2019-05-07,80,52640,5163,74957,347520,66,1873.16,21713.48,2019-04-02,11837
2019-09-12,10,71265,5357,14613,210223,100,9965.28,41986.8,2020-02-18,6630
2019-02-23,828,73120,1344,74415,188026,87,9059.33,36364.36,2021-03-07,2812
2019-04-20,306,46586,1455,71456,376386,40,3130.04,10374.55,2020-04-10,19773
2020-01-05,1183,21516,4241,75916,50476,62,8293.72,4917.74,2019-03-18,10592
2019-08-10,817,39001,2265,11868,332177,99,7678.75,27226.94,2019-11-21,15695
2019-11-12,572,58888,9129,23381,302894,88,203.89,1716.46,2019-11-18,14162
2019-08-06,777,20970,9268,10547,6354,67,5954.51,46662.5,2019-05-06,12514
2019-08-23,545,70636,4164,34881,212191,12,4057.78,36489.45,2022-01-17,18361
2019-12-05,258,61354,7883,9391,2962,99,8984.93,37187.32,2022-01-24,14152
2019-01-20,356,32637,9908,69711,87678,20,827.03,21656.99,2019-04-09,8700
2019-12-03,907,37903,7268,70240,103282,11,5632.5,34994.53,2019-06-16,15673
2019-01-22,1182,1362,5842,94470,125291,88,6332.1,29208.86,2020-07-23,18062
2019-07-10,801,40248,338,35341,12267,94,2883.33,33085.09,2020-02-16,18433
2019-03-19,1173,58249,2618,36809,70383,52,9504.51,42875.98,2019-06-15,4192
2019-04-04,101,36483,3206,98706,57927,19,2113.48,30657.2,2020-06-13,3476
2019-06-02,406,42196,9285,78891,120453,27,7968.31,8451.31,2019-10-14,9954
2019-05-18,56,30032,3458,3485,180103,89,3917.32,11342.42,2020-01-25,3432
2019-05-05,420,8930,7139,9587,106903,21,6441.52,34114.81,2021-01-05,3561
2019-02-03,783,3775,7982,79297,114621,92,1685.98,44322.68,2019-07-27,5318
2019-09-07,911,58988,2914,43932,265292,73,8326.03,31269.07,2019-11-23,8721
2019-11-24,321,48954,7608,4315,158801,1,7360.93,11917.14,2019-05-15,15153
2019-09-28,621,72862,9771,23241,348885,34,3113.15,46532.98,2020-10-29,286
2019-06-02,918,39096,8809,3157,271335,51,5915.5,48279.28,2021-08-17,6266
2019-06-11,1117,25818,6579,11626,284248,99,3679.09,44301.34,2020-12-11,11440
2019-01-27,505,4725,5933,28576,310601,44,6429.55,38315.4,2021-09-30,3327
2019-07-10,658,65748,1405,9194,276393,66,9506.64,4012.8,2020-02-07,4653
2019-11-21,289,67640,3979,63696,179633,96,8798.5,49216.33,2021-06-09,2966
2019-06-19,567,42405,6643,51805,86862,26,6865.32,49687.2,2020-06-04,15322
2019-08-05,252,31709,2396,49364,99738,29,7116.96,31350.76,2020-06-28,514
2019-04-15,1070,52421,9452,3875,168432,96,9154.8,41912.67,2021-05-28,17058
2019-07-12,625,20640,9298,66806,147261,73,9935.94,31464.54,2020-12-30,2765
2019-10-25,154,70807,422,53301,278991,14,9595.04,49854.91,2020-07-15,1954
2019-03-14,514,40333,5240,31636,271875,65,6685.39,11305.63,2019-06-09,2004
2019-08-04,648,57675,6783,77496,377408,86,9710.25,16245.35,2021-11-23,18327
2019-03-19,394,70802,4487,92476,85444,6,6773.87,5073.32,2021-11-07,13590
2019-05-21,435,38980,3893,12562,364741,11,4695.63,13824.05,2021-10-21,7371
2019-05-25,91,48840,587,24638,55790,7,4858.14,30218.94,2021-04-08,8176
2019-12-31,24,32203,2114,3852,375519,39,8861.37,20874.69,2021-03-19,17520
2019-08-26,472,9646,5856,61115,65406,26,5886.76,47870.18,2019-03-17,9260
