Data,PaymentID,GarantyID,ClientID,DiscountID,ProductID,AmountProducts,TotalPrice,TotalPriceDiscount,EndGaranty,OrdersID
2019-09-28,458,42318,8193,88269,343280,26,1850.45,11018.95,2021-05-01,1917
2019-02-26,1115,18744,4029,16158,159149,73,6645.18,10100.17,2021-09-04,12115
2019-03-27,754,70661,9401,21094,275951,50,991.76,4301.62,2021-05-28,7984
2019-07-30,355,41988,6596,54883,217035,9,7120.17,34191.29,2020-07-05,14542
2019-12-04,50,21467,4594,90012,285475,88,3003.19,7675.5,2020-09-26,8665
2019-12-27,576,72450,1109,35174,58335,64,299.35,30073.23,2019-09-10,5326
2019-03-03,310,21420,1304,57637,188688,97,9532.82,26664.45,2020-12-02,18736
2019-01-15,410,32277,2402,44023,226902,45,9349.32,48419.38,2020-05-07,13254
2019-08-27,1125,63868,8772,50017,336717,17,2967.38,23242.02,2019-04-27,2821
2019-01-27,1196,28401,4686,55313,97935,90,1918.62,24167.12,2021-01-24,16668
2019-08-19,1055,50128,6998,25366,143224,44,1329.13,41279.7,2021-11-18,8258
2019-10-23,720,46359,6883,40132,1025,11,4462.91,36838.04,2020-07-04,7425
2019-09-25,261,5599,2667,52163,35309,89,4132.48,6368.15,2021-02-10,10258
2019-12-31,291,47254,4129,63242,177677,65,3431.22,23731.11,2019-08-06,7986
2019-02-12,113,27096,4858,53572,152982,97,6471.18,34518.0,2019-08-04,19595
2019-01-13,321,73974,269,70684,15440,19,7429.29,556.81,2020-09-02,2907
2019-07-12,489,12799,8958,83726,203652,83,7101.04,33176.04,2020-01-18,18101
2019-12-04,303,33458,7063,9831,87689,46,8718.99,9482.62,2020-06-15,11852
2019-02-05,399,33252,5831,13139,264839,55,8324.85,38139.37,2020-01-11,18159
2019-05-19,458,40942,6391,86113,61215,17,9374.31,18981.8,2019-02-05,3786
2019-07-31,841,70361,2052,17738,62007,53,8917.12,16663.69,2021-11-02,650
2019-02-15,964,2711,615,2808,207166,14,2061.37,47646.43,2019-03-13,19451
2019-07-10,1196,42324,5536,61636,44038,56,1164.67,14464.29,2019-08-27,11709
2019-02-28,467,6147,5928,1421,284178,51,5103.54,12507.63,2020-10-05,7491
2019-10-06,620,29117,3879,85497,114285,55,6755.89,19704.75,2019-03-22,16253
2019-04-14,648,14904,8354,86081,17822,10,9169.51,45458.22,2021-10-01,6994
2019-08-26,229,15354,2963,81079,350568,54,2032.02,38995.87,2021-02-16,4890
2019-06-12,62,7628,225,14432,29084,15,442.52,6667.08,2021-01-05,15728
2019-03-05,1086,61126,244,30023,143105,83,64.39,21543.16,2021-03-15,10966
2019-04-25,91,17315,2471,19009,387369,29,2994.6,46364.78,2019-11-11,1283
