Data,PaymentID,GarantyID,ClientID,DiscountID,ProductID,AmountProducts,TotalPrice,TotalPriceDiscount,EndGaranty,OrdersID
2019-05-21,772,20751,7403,89755,179135,98,845.24,9081.0,2021-05-25,1680
2019-08-07,144,23204,5033,69779,195040,17,2139.37,9038.35,2019-11-27,8552
2019-01-18,645,47528,1061,97841,311185,71,4581.99,37241.69,2020-06-18,7918
2019-07-03,162,17696,5965,15957,295675,34,7161.07,32820.4,2021-12-13,19538
2019-11-14,1031,63949,8613,49038,176511,97,1178.51,27152.81,2021-05-11,944
2019-07-23,409,10603,4200,56384,113934,89,7790.59,41858.86,2020-08-14,4777
2019-09-25,1100,7576,207,29044,265672,27,959.82,4164.67,2020-08-14,60
2019-11-27,495,8336,8947,45870,59106,69,2886.85,36050.23,2021-08-14,11856
2019-01-14,168,41364,3229,49891,130122,63,2152.88,20937.42,2020-01-02,12669
2019-12-20,1126,34420,7459,78392,214901,32,7352.98,31338.47,2021-03-04,4041
2019-10-16,506,17218,5700,22447,54217,44,7937.68,7522.66,2020-10-27,2878
2019-10-07,22,40954,3028,35892,177873,19,4115.19,12592.52,2020-03-04,10165
2019-12-28,570,38308,1208,26236,41788,93,148.99,30147.14,2020-12-28,6134
2019-06-08,15,20783,612,22609,277952,77,7064.91,34404.04,2020-03-11,14683
2019-01-25,681,44837,3046,89298,26701,86,5302.14,29053.22,2021-12-27,7133
2019-11-27,640,62066,2013,73686,372934,91,7366.16,963.3,2019-08-09,5767
2019-04-08,459,74778,5326,61444,342715,6,9605.58,3383.76,2021-12-24,16926
2019-02-14,77,12328,2550,30583,358649,95,1801.03,27426.47,2019-07-30,15772
2019-10-03,1172,45886,7769,22421,389317,24,4284.88,1667.71,2019-11-19,6389
2019-04-19,1015,42564,1093,22094,166297,23,1628.69,18249.63,2021-03-14,3232
2019-11-13,69,20041,2900,88685,146884,10,7188.88,1999.69,2021-08-23,561
2019-06-30,501,19612,4921,870,321728,63,6778.73,22423.33,2019-09-17,17281
2019-06-28,807,58495,2229,65643,246240,18,9216.3,23131.81,2021-07-10,58
2019-08-25,92,39343,9020,95003,70368,28,7915.42,16815.26,2020-07-15,4895
2019-05-07,865,10425,7027,62756,290014,4,2224.83,428.75,2021-03-24,9662
2019-09-15,977,47453,4597,7298,58438,99,8417.72,19618.61,2019-10-22,15375
2019-12-19,809,37249,9680,26580,282011,30,2683.09,48720.15,2021-12-29,195
