Data,PaymentID,GarantyID,ClientID,DiscountID,ProductID,AmountProducts,TotalPrice,TotalPriceDiscount,EndGaranty,OrdersID
2019-01-22,225,43399,7956,10393,261452,7,5692.38,30574.78,2021-05-14,2613
2019-04-13,292,15063,1914,27956,81159,58,1475.32,22765.26,2021-01-30,5460
2019-09-15,347,47655,206,41015,357162,50,5984.91,8331.31,2019-03-07,19948
2019-12-11,289,1955,9364,62712,113994,6,3918.61,298.77,2021-06-11,19619
2019-03-16,588,2323,2104,74817,230611,100,5285.68,9691.43,2020-08-01,9309
2019-12-02,36,29809,1617,10109,102707,11,218.22,6228.0,2021-07-09,839
2019-12-02,472,64473,9983,39155,277456,40,8288.51,13467.27,2021-08-29,1563
2019-09-15,956,24471,4326,48615,94061,36,5191.85,9359.6,2019-12-25,10561
2019-06-19,628,42367,1578,43209,61224,100,361.97,48593.79,2020-05-31,896
2019-08-02,13,15102,4499,2819,176521,20,5355.75,40333.15,2021-06-17,18563
2019-02-21,77,47089,9081,67149,332972,96,8720.18,34071.86,2021-04-27,13743
2019-07-19,309,14101,4916,24262,175035,42,1114.5,38741.99,2021-07-03,9153
2019-10-09,937,38104,9227,6169,381942,23,6870.73,1318.34,2019-12-10,7369
2019-10-15,407,15164,9074,49506,73322,2,195.02,13704.3,2022-01-12,9411
2019-04-14,717,26308,5787,38493,323629,65,4188.21,33120.53,2021-06-08,15549
2019-11-07,897,42208,5469,55859,55137,34,1069.46,34558.77,2019-09-22,3592
2019-04-18,349,6644,1234,87371,322986,47,9478.75,16121.45,2021-10-30,1471
2019-05-10,120,66246,4177,70145,308765,10,3658.87,31947.48,2021-11-07,135
2019-11-18,259,33279,1436,33453,8161,53,4063.24,16378.3,2019-09-28,18061
2019-11-20,988,16821,5200,75212,50590,8,3478.62,15110.08,2021-08-06,9742
2019-03-04,631,21061,3568,62569,144302,78,863.73,26542.29,2020-11-09,6582
2019-10-15,912,45172,8746,8506,355071,2,1430.44,12504.89,2019-11-25,16212
2019-10-10,87,62008,4414,8969,121289,39,9698.07,2127.6,2020-07-10,8258
2019-12-15,508,16295,2524,33427,30873,7,2555.56,1159.94,2022-01-29,10744
2019-01-15,1188,54675,8548,65306,320129,75,6823.08,42956.51,2022-01-01,13490
2019-08-21,429,36286,6085,41530,11918,76,5440.5,41908.64,2021-08-01,19021
2019-08-31,861,68125,3080,92259,15074,97,6607.82,44765.47,2021-09-11,12880
2019-08-23,358,42196,2716,36604,157766,10,9608.59,16997.52,2019-02-24,8886
2019-06-01,975,34338,7749,40310,326077,4,4234.25,31309.31,2020-08-13,11017
2019-04-22,227,42885,3062,61769,299109,44,6823.49,20060.99,2019-08-03,18743
2019-02-18,134,2194,2313,56172,355637,41,7146.2,34767.08,2021-06-12,1979
2019-02-07,573,69229,2021,14131,30652,74,2439.73,11779.9,2021-04-24,6198
2019-06-15,180,30034,6617,72656,140260,36,3552.34,13866.12,2021-05-09,17167
2019-01-28,351,37535,2619,93884,19469,31,5285.65,42111.15,2019-12-19,8070
2019-10-24,557,37567,3504,68608,88511,82,6458.69,41328.81,2019-08-23,6921
2019-09-24,1197,40219,7083,1745,285304,3,631.07,33706.9,2019-07-09,17633
2019-08-18,1036,36135,9545,73573,339191,29,5927.1,36057.7,2021-07-14,5285
2019-03-02,801,32928,226,35726,280757,34,4755.13,27033.21,2020-06-20,5232
2019-03-03,262,38003,6898,26878,25213,18,8948.87,11557.38,2021-04-30,11189
