Data,PaymentID,GarantyID,ClientID,DiscountID,ProductID,AmountProducts,TotalPrice,TotalPriceDiscount,EndGaranty,OrdersID
2019-08-22,324,24914,2540,28045,192714,22,7031.59,33136.73,2019-10-25,4562
2019-11-04,557,30709,9612,55167,389979,58,3227.85,23779.69,2019-11-28,145
2019-05-12,845,37585,7525,54344,91564,30,43.82,32141.19,2020-09-16,1736
2019-05-04,460,55624,8539,21332,263109,34,2837.64,24986.63,2020-05-03,18024
2019-12-14,63,2835,7426,27865,289741,14,7724.83,21774.11,2019-10-18,12507
2019-11-16,922,50477,5561,46368,185617,61,7401.93,2406.81,2020-01-22,2496
2019-11-11,878,22655,8626,5275,25876,84,9639.04,18428.52,2021-11-09,14858
2019-11-28,540,46072,3964,57421,133051,32,6185.95,26164.4,2021-11-18,3743
2019-11-04,844,30443,5259,83312,2650,73,7938.0,29915.87,2019-04-15,4466
2019-08-22,929,44814,8533,69099,250720,13,9890.54,21619.95,2019-06-15,5661
2019-08-18,727,51383,5436,9926,371665,96,891.01,13410.45,2020-10-19,15019
2019-12-18,613,57586,2645,96553,92136,48,5606.21,5302.25,2020-05-25,5066
2019-06-26,1112,74871,7513,30858,136575,49,883.96,7230.05,2021-02-05,18405
2019-03-11,510,8308,7770,91086,307898,41,9861.37,35691.24,2021-02-08,19385
2019-06-27,475,2591,9287,5604,150625,18,7019.53,47919.23,2019-07-01,11590
2019-02-10,967,71230,1253,74810,20812,52,7915.95,15093.06,2019-08-09,5973
2019-03-14,503,9712,2563,63102,252146,99,3813.58,27039.45,2019-12-26,17007
2019-08-10,426,67173,9871,74966,293195,35,1221.55,15438.88,2019-03-06,8039
2019-09-15,66,57716,9291,76917,95222,76,4448.84,41006.98,2019-10-01,11016
2020-01-06,62,29688,6063,94533,373572,31,7762.02,3166.36,2019-08-24,3728
2019-10-13,886,18529,4503,6201,277060,57,2628.68,18057.99,2019-03-25,2861
2019-12-03,859,25178,4216,53411,194867,28,2902.53,32551.36,2020-03-16,9678
2019-10-21,104,16108,6175,75178,204836,22,6788.56,27052.94,2020-08-05,491
2019-11-14,801,45936,3783,96101,351613,72,858.57,11316.11,2021-12-08,12705
2019-08-27,537,36956,1577,480,214662,29,133.47,21441.69,2019-09-12,11939
2019-10-12,680,43698,5570,39928,172471,2,9749.65,26630.22,2019-11-22,7789
